key,english,kiswahili_for_reference,Kiembu_draft,Kiembu_corrected,ok_as_is
pickOneLater,Pick one — you can always add more accounts later.,Chagua moja — unaweza kuongeza akaunti nyingine baadaye.,Thuura imwe — no wongerere ingi thutha-ini.,,
accountTypeGroup,Our Group,Kikundi Chetu,Gikundi Giitu,,
accountTypeGroupSubtitle,"This phone will keep our group's savings, loans and meetings.","Simu hii itatunza akiba, mikopo na mikutano ya kikundi chetu.","Thimu ino niyo ikuiga uigi, mikopo na micemanio ya gikundi giitu.",,
accountTypeMember,Just Me,Mimi Peke Yangu,Nii Nyiki,,
accountTypeMemberSubtitle,"I want to see my own savings, shares and loans.","Nataka kuona akiba, hisa na mikopo yangu.","Ningwenda kuona uigi, hisa na mikopo yakwa.",,
accountTypeAgent,Field Agent,Wakala wa Ugani,Murugamiriri wa Mugunda,,
accountTypeAgentSubtitle,Village Agent or CBT — I support and monitor several groups.,Wakala wa Kijiji au CBT — nasaidia na kufuatilia vikundi kadhaa.,Murugamiriri wa Ituura kana CBT — nindeithagia na ngarora ikundi nyingi.,,
change,Change,Badilisha,Garura,,
groupNameLabel,Group name,Jina la kikundi,Riitwa ria gikundi,,
yourFullName,Your full name,Jina lako kamili,Riitwa riaku riothe,,
phoneNumber,Phone number,Nambari ya simu,Namba ya thimu,,
password,Password,Nenosiri,Kihithe,,
passwordHint,At least 6 characters — keep it secret.,Angalau herufi 6 — liweke siri.,Ndemwa 6 kana nyingi — kiige kiri kihithe.,,
repeatPassword,Repeat password,Rudia nenosiri,Cookera kihithe,,
emailOptional,Email (optional),Barua pepe (si lazima),Barua ya intaneti (ti bata),,
countyOptional,County (optional),Kaunti (si lazima),Kaunti (ti bata),,
createMyAccount,Create My Account,Fungua Akaunti Yangu,Thondeka Akaunti Yakwa,,
creatingAccount,Creating account…,Inafungua akaunti…,Niguthondekwo akaunti…,,
registerNeedsInternet,Creating an account needs an internet connection. Your phone number is your sign-in.,Kufungua akaunti kunahitaji intaneti. Nambari yako ya simu ndiyo utakayotumia kuingia.,Guthondeka akaunti nikubataraga intaneti. Namba yaku ya thimu niyo ukuhuthira gutoonya.,,
welcomeBack,Welcome back,Karibu tena,Wamukiro ringi,,
signInWithPhone,Sign in with your phone number and password.,Ingia kwa nambari yako ya simu na nenosiri.,Toonya na namba yaku ya thimu na kihithe.,,
phoneOrEmail,Phone number or email,Nambari ya simu au barua pepe,Namba ya thimu kana barua ya intaneti,,
signingIn,Signing in…,Inaingia…,Nigutoonywo…,,
sessionNote,Your session lasts 8 hours. The group's record book keeps working offline once you are signed in.,Kipindi chako hudumu saa 8; daftari la nje ya mtandao huendelea kufanya kazi bila kuingia tena.,Mahinda maku ni mathaa 8. Ibuku ria gikundi rithiaga na mbere kuruta wira o na hatari intaneti waarikia gutoonya.,,
sectionGroup,Group,Kikundi,Gikundi,,
sectionReports,Reports,Ripoti,Ripoti,,
sectionEndOfCycle,End of cycle,Mwisho wa mzunguko,Muthia wa muthiururuko,,
sectionCloudBackup,Cloud & backup,Wingu na hifadhi,Matu na kuiga,,
sectionAppearance,Appearance,Muonekano,Muonekere,,
sectionLanguage,Language,Lugha,Ruthiomi,,
sectionAbout,About,Kuhusu,Uhoro,,
groupSettings,Group Settings,Mipangilio ya Kikundi,Mibango ya Gikundi,,
groupSettingsSubtitle,"Savings, loans and meeting days","Akiba, mikopo na siku za mikutano","Uigi, mikopo na mithenya ya micemanio",,
meetingSecurity,Meeting Security,Usalama wa Mkutano,Ugitiri wa Mucemanio,,
memberAccounts,Member Accounts,Akaunti za Wanachama,Akaunti cia Amemba,,
memberAccountsSubtitle,Let members get their own sign-in to see their savings,Ruhusu wanachama wapate akaunti zao kuona akiba zao,Rekereria amemba magie na akaunti ciao mone uigi wao,,
groupRules,Group Rules,Sheria za Kikundi,Mawatho ma Gikundi,,
groupReport,Group Report,Ripoti ya Kikundi,Ripoti ya Gikundi,,
groupReportSubtitle,"Money, members and meetings — share text or PDF","Pesa, wanachama na mikutano — tuma maandishi au PDF","Mbeca, amemba na micemanio — tuma maandiko kana PDF",,
memberReports,Member Reports,Ripoti za Wanachama,Ripoti cia Amemba,,
memberReportsSubtitle,A statement for each member — share text or PDF,Taarifa ya kila mwanachama — tuma maandishi au PDF,Uhoro wa o mumemba — tuma maandiko kana PDF,,
shareOut,Share-Out,Mgao wa Mwisho,Kugayana,,
shareOutSubtitle,Share the group fund back to members,Gawa pesa za kikundi kwa wanachama,Gaira amemba mbeca cia gikundi,,
cloudAccount,Cloud Account,Akaunti ya Wingu,Akaunti ya Matu,,
syncBackup,Sync & Backup,Sawazisha na Hifadhi,Kuiganania na Kuiga,,
intelliStores,Intelli-Stores,Intelli-Stores,Intelli-Stores,,
language,Language,Lugha,Ruthiomi,,
languageSubtitle,Choose the language for this phone,Chagua lugha ya simu hii,Thuura ruthiomi rwa thimu ino,,
languageNeedsReview,"Every screen is translated, but a speaker of this language has not checked the wording yet. If something reads wrongly, please tell us — you can switch back to English or Kiswahili at any time.","Kila skrini imetafsiriwa, lakini mzungumzaji wa lugha hii bado hajakagua maneno. Kama kitu hakisomeki vizuri, tuambie — unaweza kurudi kwa Kiingereza au Kiswahili wakati wowote.","Ithangu ri riothe niriataurwo, no mundu uaragia ruthiomi ruru ndari arorire ciugo. Kungikoruo hari undu utathomeka wega, tumenyithie — no ucooke Githungu kana Githwahili hindi o yothe.",,
shareTextButton,Share Text,Tuma Maandishi,Tuma Maandiko,,
back,Back,Rudi,Cooka,,
cancel,Cancel,Ghairi,Tiga,,
signedOut,Signed out.,Umetoka.,Niwoima.,,
signOutKeepsRecords,"Your group's savings, loans and meetings stay saved on this phone, but nobody can open them until you sign in again. Your phone number will be remembered.","Akiba, mikopo na mikutano ya kikundi chenu vitabaki vimehifadhiwa kwenye simu hii, lakini hakuna atakayeweza kuvifungua hadi uingie tena. Nambari yako ya simu itakumbukwa.","Uigi, mikopo na micemanio ya gikundi kianyu igutigwo iigitwo thimu-ini ino, no gutiri mundu ungimihingura utatoonyete ringi. Namba yaku ya thimu niikuririkanwo.",,
signOutMemberNote,You will need to sign in again to see your savings. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona akiba yako. Nambari yako ya simu itakumbukwa.,Niukabatara gutoonya ringi niguo wone uigi waku. Namba yaku ya thimu niikuririkanwo.,,
signOutAgentNote,You will need to sign in again to see your groups. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona vikundi vyako. Nambari yako ya simu itakumbukwa.,Niukabatara gutoonya ringi niguo wone ikundi ciaku. Namba yaku ya thimu niikuririkanwo.,,
whoIsSigningIn,Who is signing in?,Nani anaingia?,Nuu uratoonya?,,
whoIsSigningInSubtitle,"Choose the kind of account you use, then enter your phone number and password.","Chagua aina ya akaunti unayotumia, kisha weka nambari yako ya simu na nenosiri.","Thuura muthemba wa akaunti urahuthira, ucooke wikire namba yaku ya thimu na kihithe.",,
welfareRecordThisPayment,Record this payment?,Rekodi malipo haya?,Andika irihi riri?,,
welfareRecordPayment,Record payment,Rekodi malipo,Andika irihi,,
welfareWelfareFund,Welfare Fund,Mfuko wa Jamii,Muthithu wa Uteithio,,
welfareCouldNotLoadTheWelfare,Could not load the welfare fund.,Imeshindwa kupakia mfuko wa jamii.,Muthithu wa uteithio ndunahota kurutwo.,,
welfareTryAgain,Try again,Jaribu tena,Geria ringi,,
welfareLeftInTheWelfareFund,Left in the welfare fund,Kilichobaki kwenye mfuko wa jamii,Kiria gitigarite muthithu-ini wa uteithio,,
welfareRecordAWelfarePayment,Record a welfare payment,Rekodi malipo ya jamii,Andika irihi ria uteithio,,
welfarePaidOutThisCycle,Paid out this cycle,Kilicholipwa mzunguko huu,Kiria kirihitwo muthiururuko-ini uyu,,
welfareNothingPaidOutYetThe,Nothing paid out yet — the whole welfare fund will be shared.,Hakuna kilicholipwa bado — mfuko wote wa jamii utagawanywa.,Gutiri kirihitwo — muthithu wothe wa uteithio niukugayanwo.,,
welfareRecordedInMeeting,Recorded in meeting,Imerekodiwa kwenye mkutano,Kwandikiirwo mucemanio-ini,,
welfareAmountKsh,Amount (KSh),Kiasi (KSh),Muigana (KSh),,
welfareWhatFor,What for,Kwa ajili gani,Ni kwa undu uriku,,
welfarePaidTo,Paid to,Amelipwa,Aarihirwo,,
welfareAMemberAFamilyOr,"A member, a family, or a hospital — whoever received it","Mwanachama, familia au hospitali — yeyote aliyepokea","Mumemba, mucii, kana thibitari — mundu o wothe uria waamukirire",,
welfareNoteOptional,Note (optional),Maelezo (si lazima),Uhoro (ti bata),,
meetingHubEditAttendance,Edit attendance,Badilisha mahudhurio,Garura ukinyu,,
meetingHubCloseLockMeeting,Close & Lock Meeting,Funga na Ufunge Mkutano,Hinga na Uhingire Mucemanio,,
meetingHubClosingLocksAllRecordsPermanently,Closing locks all records permanently.,Kufunga hufunga rekodi zote milele.,Kuhinga kuhingaga maandiko mothe nginya tene.,,
meetingHubKeepOpen,Keep Open,Acha Wazi,Tiga Uhingukite,,
meetingHubCloseLock,Close & Lock,Funga na Ufunge,Hinga na Uhingire,,
meetingHubSocialFund,Social Fund,Mfuko wa Jamii,Muthithu wa Uteithio,,
meetingHubBuyShares,Buy Shares,Nunua Hisa,Gura Hisa,,
meetingHubRecordFine,Record Fine,Rekodi Faini,Andika Faini,,
meetingHubDisburseLoan,Disburse Loan,Toa Mkopo,Heana Mukopo,,
meetingHubRepayment,Repayment,Marejesho,Kuriha,,
meetingHubShareRecords,Share Records,Rekodi za Hisa,Maandiko ma Hisa,,
meetingHubVoting,Voting,Kupiga Kura,Gutua,,
meetingHubWelfare,Welfare,Jamii,Uteithio,,
meetingHubIntelliStore,Intelli-Store,Intelli-Store,Intelli-Store,,
meetingHubExternalLoans,External Loans,Mikopo ya Nje,Mikopo ya Nja,,
groupSetupWizardAddTheMembersJoiningThis,Add the members joining this cycle. You can always add more later.,Ongeza wanachama wanaojiunga na mzunguko huu. Unaweza kuongeza wengine baadaye.,Ongerera amemba aria marenyita muthiururuko uyu. No wongerere angi hindi ingi.,,
groupSetupWizardEveryoneBuysSharesAtOne,Everyone buys shares at one fixed price,Kila mtu ananunua hisa kwa bei moja isiyobadilika,Mundu o wothe aguraga hisa na thogora umwe utagarurukaga,,
groupSetupWizardMembersSaveWhatTheyCan,Members save what they can each meeting,Wanachama huweka akiba kadri wawezavyo kila mkutano,Amemba maigaga kiria mangihota o mucemanio,,
groupSetupWizardGroupName,Group Name,Jina la Kikundi,Rietwa ria gikundi,,
groupSetupWizardCycleNumber,Cycle Number,Namba ya Mzunguko,Namba ya Muthiururuko,,
groupSetupWizardWhichSavingsCycleIsThis,Which savings cycle is this group on?,Kikundi hiki kiko kwenye mzunguko upi wa akiba?,Gikundi giki kiri muthiururuko uriku wa uigi?,,
groupSetupWizardMemberName,Member Name,Jina la Mwanachama,Rietwa ria mumemba,,
groupSetupWizardAddMember,Add member,Ongeza mwanachama,Ongerera mumemba,,
groupSetupWizardRemove,Remove,Ondoa,Eheria,,
groupSetupWizardShareValueKsh,Share Value (KSh),Thamani ya Hisa (KSh),Thogora wa Hisa (KSh),,
groupSetupWizardMaxSharesPerMeeting,Max Shares per Meeting,Hisa za Juu Kila Mkutano,Hisa Iria Nyingi o Mucemanio,,
groupSetupWizardSocialFundPerMeetingKsh,Social Fund per Meeting (KSh),Mfuko wa Jamii Kila Mkutano (KSh),Muthithu wa Uteithio o Mucemanio (KSh),,
groupSetupWizardTrackedSeparatelyFromSavings,Tracked separately from savings,Hufuatiliwa tofauti na akiba,Urumagirirwo mwanya na uigi,,
groupSetupWizardInterestRatePerMonth,Interest Rate (% per month),Riba (% kwa mwezi),Ucuuthi (% o mweri),,
groupSetupWizardMaxLoanMultiplierSavings,Max Loan Multiplier (× savings),Kikomo cha Mkopo (× akiba),Muigana wa Mukopo (× uigi),,
groupSetupWizardDefaultLoanTermMonths,Default Loan Term (months),Muda wa Kawaida wa Mkopo (miezi),Ihinda ria Mukopo (mieri),,
groupSyncBackUpToCloud,Back Up to Cloud,Hifadhi Kwenye Wingu,Iga Matu-ini,,
groupSyncUnlinkGroup,Unlink group?,Ondoa kiungo cha kikundi?,Eheria kiohanio kia gikundi?,,
groupSyncUnlink,Unlink,Ondoa kiungo,Eheria kiohanio,,
groupSyncNotConnected,Not connected,Haijaunganishwa,Itiohanitio,,
groupSyncOpenServerConnection,Open Server Connection,Fungua Muunganisho wa Seva,Hingura Kiohanio kia Cheba,,
groupSyncLink,Link,Unganisha,Ohania,,
groupSyncUnlinkGroup2,Unlink Group,Ondoa Kiungo cha Kikundi,Eheria Kiohanio kia Gikundi,,
groupSyncNoBackendGroups,No backend groups,Hakuna vikundi kwenye seva,Gutiri ikundi cheba-ini,,
groupSyncThisApiKeyCannotSee,This API key cannot see any groups to link to.,Ufunguo huu hauwezi kuona kikundi chochote cha kuunganisha.,Kihinguro giki gitingiona gikundi o na kimwe gia kuohania.,,
groupSyncBackendGroup,Backend group,Kikundi kwenye seva,Gikundi kiria kiri cheba-ini,,
createPollStartAVote,Start a Vote,Anzisha Kura,Ambiriria Itua,,
createPollEveryonePresentVotesOnceNobody,Everyone present votes once. Nobody can vote twice.,Kila aliyepo hupiga kura mara moja. Hakuna anayeweza kupiga mara mbili.,O mundu uri ho atuaga riita rimwe. Gutiri ungitua maita meeri.,,
createPollChooseALeader,Choose a leader,Chagua kiongozi,Thuura mutongoria,,
createPollDecideSomething,Decide something,Amua jambo,Tua undu,,
createPollTickAtLeastTwoPeople,Tick at least two people.,Chagua angalau watu wawili.,Thuura andu eeri kana makiria.,,
createPollAddAnotherAnswer,Add another answer,Ongeza jibu lingine,Ongerera macookio mangi,,
createPollSecretVote,Secret vote,Kura ya siri,Itua ria hitho,,
createPollOpenTheVote,Open the Vote,Fungua Kura,Hingura Itua,,
createPollWhichPosition,Which position?,Nafasi ipi?,Ni nafathi iriku?,,
createPollWhatIsTheQuestion,What is the question?,Swali ni lipi?,Kiuria ni kiriku?,,
createPollShouldWeBuyAGroup,Should we buy a group water tank?,"Je, tununue tanki la maji la kikundi?",Nitugure tanki ya mai ya gikundi?,,
paymentProvidersLeaveABoxEmptyTo,Leave a box empty to keep what is already saved.,Acha kisanduku wazi ili kubaki na kilichohifadhiwa.,Tiga gikabu gitari kindu niguo utige kiria kiigitwo.,,
paymentProvidersSave,Save,Hifadhi,Iga,,
paymentProvidersUseThePlatformAccount,Use the platform account?,Tumia akaunti ya jukwaa?,Huthira akaunti ya kioneki?,,
paymentProvidersPaymentProviders,Payment Providers,Watoa Huduma za Malipo,Aheani a Marihi,,
paymentProvidersUsePlatform,Use platform,Tumia jukwaa,Huthira kioneki,,
storeShopOnCredit,Shop on credit,Nunua kwa mkopo,Gura na mukopo,,
storeLoanOffersFromLendingPartners,Loan offers from lending partners — apply as a group.,Mikopo kutoka kwa washirika wa kukopesha — omba kama kikundi.,Mikopo kuuma kuri athiritu akombithania — hooya ta gikundi.,,
storeSeeAllExternalLoans,See all external loans,Ona mikopo yote ya nje,Ona mikopo yothe ya nja,,
storeConnectToBrowseTheStore,Connect to browse the store,Unganisha ili kutazama duka,Ohania niguo wone thoko,,
storeOpenCloudAccount,Open Cloud Account,Fungua Akaunti ya Wingu,Hingura Akaunti ya Matu,,
storeAll,All,Zote,Ciothe,,
storeCouldNotLoadTheStore,Could not load the store,Imeshindwa kupakia duka,Thoko ndinahota kurutwo,,
storeNoProductsInThisCategory,No products in this category,Hakuna bidhaa katika kundi hili,Gutiri indo muthemba-ini uyu,,
storeTryADifferentCategoryOr,Try a different category or check back later.,Jaribu kundi lingine au rudi baadaye.,Geria muthemba ungi kana ucooke thutha-ini.,,
pollsNewVote,New Vote,Kura Mpya,Itua Rieru,,
pollsGroupVotes,Group votes,Kura za kikundi,Itua cia gikundi,,
pollsSecret,Secret,Siri,Hitho,,
pollsYouHaveVoted,You have voted,Umepiga kura,Niwatua,,
pollsConnectToVote,Connect to vote,Unganisha ili kupiga kura,Ohania niguo utue,,
pollsCouldNotLoadTheVotes,Could not load the votes,Imeshindwa kupakia kura,Itua itinahota kurutwo,,
pollsNoVotesYet,No votes yet,Hakuna kura bado,Gutiri itua,,
memberPassbookMyPassbook,My Passbook,Kitabu Changu,Ibuku Riakwa,,
memberPassbookJoinAGroup,Join a group,Jiunge na kikundi,Itikira gikundi,,
memberPassbookMyReport,My report,Ripoti yangu,Ripoti yakwa,,
memberPassbookMySavingsAcrossAllGroups,My savings across all groups,Akiba yangu katika vikundi vyote,Uigi wakwa ikundi-ini ciothe,,
memberPassbookJoinAnotherGroup,Join another group,Jiunge na kikundi kingine,Itikira gikundi kingi,,
memberPassbookYouAreNotInA,You are not in a group yet,Bado hujajiunga na kikundi,Nduri gikundi-ini o na rimwe,,
memberPassbookNoTransactionsYet,No transactions yet,Hakuna miamala bado,Gutiri maundu mekitwo,,
memberPassbookYourSavingsAndLoanRecords,Your savings and loan records will appear here.,Rekodi za akiba na mikopo yako zitaonekana hapa.,Maandiko ma uigi na mikopo yaku nimakonekaga haha.,,
joinRequestsDecline,Decline,Kataa,Rega,,
joinRequestsJoinRequests,Join Requests,Maombi ya Kujiunga,Mahooya ma Kwiyunganiria,,
joinRequestsPeopleAskingToJoin,People asking to join,Watu wanaoomba kujiunga,Andu aria marahooya kwiyunganiria,,
joinRequestsApprove,Approve,Kubali,Itikira,,
joinRequestsReasonOptional,Reason (optional),Sababu (si lazima),Gitumi (ti bata),,
joinRequestsNoOneIsWaiting,No one is waiting,Hakuna anayesubiri,Gutiri mundu ureteterera,,
pollDetailCloseThisVote,Close this vote?,Funga kura hii?,Hinga itua riri?,,
pollDetailCloseVote,Close Vote,Funga Kura,Hinga Itua,,
pollDetailVote,Vote,Piga Kura,Tua,,
pollDetailYourChoice,Your choice,Chaguo lako,Uthuuri waku,,
pollDetailNoMembersLoadedForThis,No members loaded for this group yet.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado.,Gutiri amemba marutitwo gikundi giki.,,
pollDetailMemberCastingThisVote,Member casting this vote,Mwanachama anayepiga kura hii,Mumemba uratua itua riri,,
groupPolicyHowLongALoanRuns,How long a loan runs,Mkopo hudumu muda gani,Mukopo uikaraga ihinda riigana atia,,
groupPolicyInterestCharged,Interest charged,Riba inayotozwa,Ucuuthi uria utozagwo,,
groupPolicyExpensesArePaidFrom,Expenses are paid from,Gharama hulipwa kutoka,Thogora urihagwo kuuma,,
groupPolicyRulesThatAreFixed,Rules that are fixed,Sheria zisizobadilika,Mawatho matagarurukaga,,
productDetailRequestOnCredit,Request on Credit,Omba kwa Mkopo,Hooya na Mukopo,,
productDetailQuantity,Quantity,Idadi,Muigana,,
productDetailSubmitRequest,Submit Request,Wasilisha Ombi,Tuma Ihooya,,
productDetailPricedAtTheStandardDeposit,Priced at the standard deposit — rating unavailable.,Bei ya amana ya kawaida — kiwango hakipatikani.,Thogora wa muthii wa kawaida — githimi gitiri ho.,,
productDetailProgramme,Programme,Programu,Mubango,,
productDetailCustomerName,Customer name,Jina la mteja,Riitwa ria muguri,,
productDetailEmail,Email,Barua pepe,Barua ya intaneti,,
productDetailGroupNameOptional,Group name (optional),Jina la kikundi (si lazima),Riitwa ria gikundi (ti bata),,
dashboardHello,Hello 👋,Habari 👋,Wi mwega 👋,,
dashboardTotalSavings,Total Savings,Jumla ya Akiba,Mbeca Ciothe Iigitwo,,
dashboardActiveLoans,Active Loans,Mikopo Hai,Mikopo Iri Wira-ini,,
dashboardFinesCollected,Fines Collected,Faini Zilizokusanywa,Faini Iria Ciunganitio,,
disburseLoanLoanEligibility,Loan Eligibility,Ustahili wa Mkopo,Uhoti wa Kuheo Mukopo,,
disburseLoanSelectMember,Select Member,Chagua Mwanachama,Thuura Mumemba,,
disburseLoanPrincipalAmountKsh,Principal Amount (KSh),Kiasi cha Msingi (KSh),Mbeca cia Kiambiriria (KSh),,
disburseLoanDueDate,Due Date,Tarehe ya Mwisho,Muthenya wa Kuriha,,
joinGroupRequestSent,Request sent,Ombi limetumwa,Ihooya niriatumwo,,
joinGroupDone,Done,Imekamilika,Ni kuhite,,
joinGroupAskYourGroupToAdd,Ask your group to add you,Omba kikundi chako kikuongeze,Hooya gikundi giaku gikuongerere,,
joinGroupSendRequest,Send request,Tuma ombi,Tuma ihooya,,
joinGroupViewing,Viewing,Unatazama,Uroroa,,
joinGroupGroupCode,Group code,Msimbo wa kikundi,Kimenyithia kia gikundi,,
memberDetailEditDetails,Edit details,Badilisha maelezo,Garura uhoro,,
memberDetailMemberReport,Member report,Ripoti ya mwanachama,Ripoti ya mumemba,,
memberDetailNoLoansTaken,No loans taken,Hakuna mkopo uliochukuliwa,Gutiri mukopo woetwo,,
memberDetailStartingPassword,Starting password,Nenosiri la kuanzia,Kihithe kia kwambiriria,,
memberDetailAtLeast6Characters,At least 6 characters.,Angalau herufi 6.,Ndemwa 6 kana nyingi.,,
cyclesCloseCycle,Close cycle,Funga mzunguko,Hinga muthiururuko,,
cyclesSavingCycles,Saving Cycles,Mizunguko ya Akiba,Mithiururuko ya Uigi,,
cyclesCloseCycleAndStartThe,Close cycle and start the next,Funga mzunguko na uanze ujao,Hinga muthiururuko wambiririe uria ungi,,
cyclesReadOnlyStillVisibleIn,Read-only — still visible in reports,Kusoma tu — bado inaonekana kwenye ripoti,Guthomwo tu — no uronekaga ripoti-ini,,
externalLoansCreditVentures,Credit ventures,Miradi ya mkopo,Mibango ya mukopo,,
externalLoansConnectToSeeLoanOffers,Connect to see loan offers,Unganisha ili kuona mikopo iliyopo,Ohania niguo wone mikopo iria iri ho,,
externalLoansCouldNotLoadLoanOffers,Could not load loan offers,Imeshindwa kupakia mikopo iliyopo,Mikopo itinahota kurutwo,,
externalLoansNoLoanOffersRightNow,No loan offers right now,Hakuna mkopo kwa sasa,Gutiri mukopo riu,,
accountAccount,Account,Akaunti,Akaunti,,
accountServer,Server,Seva,Cheba,,
accountAppVersion,App version,Toleo la programu,Muthemba wa app,,
accountPhone,Phone,Simu,Thimu,,
businessProfileGroupBusiness,Group business,Biashara ya kikundi,Wonjoria wa gikundi,,
businessProfileWhatDoesTheGroupRun,What does the group run together?,Kikundi kinaendesha biashara gani pamoja?,Ni wonjoria uriku gikundi kirutaga hamwe?,,
businessProfileTypeOfBusiness,Type of business,Aina ya biashara,Muthemba wa wonjoria,,
businessProfileEGPoultryCerealBuying,"e.g. poultry, cereal buying","mfano: kuku, ununuzi wa nafaka","ta: nguku, kugura mbembe",,
businessProfileMoneyInEachMonthKes,Money in each month (KES),Mapato kila mwezi (KES),Mbeca itonyaga o mweri (KES),,
businessProfileCostsEachMonthKes,Costs each month (KES),Gharama kila mwezi (KES),Thogora o mweri (KES),,
businessProfilePeopleItEmploys,People it employs,Watu inaowaajiri,Andu aria uheaga wira,,
businessProfileBiggestProblemTheyFace,Biggest problem they face,Tatizo kubwa wanalokabiliana nalo,Thina munene uria mahitukagira,,
recordVisitSettings,Settings,Mipangilio,Mibango,,
recordVisitScoreTheGroup,Score the group,Pima kikundi,Thima gikundi,,
recordVisitTheGroupSEnterprise,The group’s enterprise,Biashara ya kikundi,Wonjoria wa gikundi,,
recordVisitWhatTheyRunTogetherAnd,"What they run together, and how it is doing.","Wanachoendesha pamoja, na kinavyokwenda.","Kiria marutaga hamwe, na uria giguthii.",,
recordVisitSavedOnThisPhoneFirst,"Saved on this phone first, then sent when you have signal.","Huhifadhiwa kwenye simu hii kwanza, kisha hutumwa ukipata mtandao.","Kiigagwo thimu-ini ino mbere, gicooke gitumwo wagia na mutandao.",,
recordVisitWhyNotOptional,Why not? (optional),Kwa nini hapana? (si lazima),Niki gitiri? (ti bata),,
recordVisitWhatYouFound,What you found,Uliyoyakuta,Kiria wonire,,
agentHomeMyGroups,My Groups,Vikundi Vyangu,Ikundi Ciakwa,,
agentHomeCaseloadReport,Caseload report,Ripoti ya vikundi,Ripoti ya ikundi,,
agentHomeNoGroupsAssigned,No groups assigned,Hakuna kikundi ulichopewa,Gutiri gikundi uheetwo,,
agentHomeGroups,Groups,Vikundi,Ikundi,,
agentHomeNeedSupport,Need support,Vinahitaji msaada,Irabatara uteithio,,
loansLoanPortfolio,Loan Portfolio,Jalada la Mikopo,Ibuku ria Mikopo,,
loansActive,Active,Hai,Iri Wira,,
loansSearchByMemberName,Search by member name,Tafuta kwa jina la mwanachama,Caria na riitwa ria mumemba,,
loansNoLoansHere,No loans here,Hakuna mikopo hapa,Gutiri mikopo haha,,
threeKeyUnlockUnlockMeeting,Unlock Meeting,Fungua Mkutano,Hingura Mucemanio,,
threeKeyUnlockVerified,Verified,Imethibitishwa,Ni gwikiritwo hinya,,
threeKeyUnlockSendANewCode,Send a new code,Tuma msimbo mpya,Tuma kimenyithia kieru,,
threeKeyUnlockNoSmsUseMySaved,No SMS? Use my saved PIN instead,Hakuna SMS? Tumia PIN yangu iliyohifadhiwa,Gutiri SMS? Huthira PIN yakwa iria iigitwo,,
threeKeyUnlockOneTimeCode,One-time code,Msimbo wa mara moja,Kimenyithia kia riita rimwe,,
threeKeyUnlockRepeatPin,Repeat PIN,Rudia PIN,Cookera PIN,,
memberReportMyReport,My Report,Ripoti Yangu,Ripoti Yakwa,,
memberReportShare,Share,Shiriki,Gaira,,
memberReportNotSignedIn,Not signed in,Hujaingia,Ndutoonyete,,
memberReportSignInToYourAccount,Sign in to your account to see and share your report.,Ingia kwenye akaunti yako ili kuona na kushiriki ripoti yako.,Toonya akaunti-ini yaku niguo wone na ugaire ripoti yaku.,,
cloudDashboardCloudData,Cloud Data,Data ya Wingu,Uhoro wa Matu,,
cloudDashboardRefresh,Refresh,Onyesha upya,Eruhia,,
cloudDashboardSavingsFund,Savings Fund,Mfuko wa Akiba,Muthithu wa Uigi,,
cloudDashboardInternalLoans,Internal Loans,Mikopo ya Ndani,Mikopo ya Thiini,,
