key,english,kiswahili_for_reference,Gikuyu_translation
groupSetupWizardSocialFundPerMeetingKsh,Social Fund per Meeting (KSh),Mfuko wa Jamii Kila Mkutano (KSh),
groupSetupWizardTrackedSeparatelyFromSavings,Tracked separately from savings,Hufuatiliwa tofauti na akiba,
groupSetupWizardInterestRatePerMonth,Interest Rate (% per month),Riba (% kwa mwezi),
groupSetupWizardMaxLoanMultiplierSavings,Max Loan Multiplier (× savings),Kikomo cha Mkopo (× akiba),
groupSetupWizardDefaultLoanTermMonths,Default Loan Term (months),Muda wa Kawaida wa Mkopo (miezi),
groupSyncBackUpToCloud,Back Up to Cloud,Hifadhi Kwenye Wingu,
groupSyncUnlinkGroup,Unlink group?,Ondoa kiungo cha kikundi?,
groupSyncUnlink,Unlink,Ondoa kiungo,
groupSyncNotConnected,Not connected,Haijaunganishwa,
groupSyncOpenServerConnection,Open Server Connection,Fungua Muunganisho wa Seva,
groupSyncLink,Link,Unganisha,
groupSyncUnlinkGroup2,Unlink Group,Ondoa Kiungo cha Kikundi,
groupSyncNoBackendGroups,No backend groups,Hakuna vikundi kwenye seva,
groupSyncThisApiKeyCannotSee,This API key cannot see any groups to link to.,Ufunguo huu hauwezi kuona kikundi chochote cha kuunganisha.,
groupSyncBackendGroup,Backend group,Kikundi kwenye seva,
createPollStartAVote,Start a Vote,Anzisha Kura,
createPollEveryonePresentVotesOnceNobody,Everyone present votes once. Nobody can vote twice.,Kila aliyepo hupiga kura mara moja. Hakuna anayeweza kupiga mara mbili.,
createPollChooseALeader,Choose a leader,Chagua kiongozi,
createPollDecideSomething,Decide something,Amua jambo,
createPollTickAtLeastTwoPeople,Tick at least two people.,Chagua angalau watu wawili.,
createPollAddAnotherAnswer,Add another answer,Ongeza jibu lingine,
createPollSecretVote,Secret vote,Kura ya siri,
createPollOpenTheVote,Open the Vote,Fungua Kura,
createPollWhichPosition,Which position?,Nafasi ipi?,
createPollWhatIsTheQuestion,What is the question?,Swali ni lipi?,
createPollShouldWeBuyAGroup,Should we buy a group water tank?,"Je, tununue tanki la maji la kikundi?",
paymentProvidersLeaveABoxEmptyTo,Leave a box empty to keep what is already saved.,Acha kisanduku wazi ili kubaki na kilichohifadhiwa.,
paymentProvidersUseThePlatformAccount,Use the platform account?,Tumia akaunti ya jukwaa?,
paymentProvidersPaymentProviders,Payment Providers,Watoa Huduma za Malipo,
paymentProvidersUsePlatform,Use platform,Tumia jukwaa,
storeShopOnCredit,Shop on credit,Nunua kwa mkopo,
storeLoanOffersFromLendingPartners,Loan offers from lending partners — apply as a group.,Mikopo kutoka kwa washirika wa kukopesha — omba kama kikundi.,
storeSeeAllExternalLoans,See all external loans,Ona mikopo yote ya nje,
storeConnectToBrowseTheStore,Connect to browse the store,Unganisha ili kutazama duka,
storeOpenCloudAccount,Open Cloud Account,Fungua Akaunti ya Wingu,
storeCouldNotLoadTheStore,Could not load the store,Imeshindwa kupakia duka,
storeNoProductsInThisCategory,No products in this category,Hakuna bidhaa katika kundi hili,
storeTryADifferentCategoryOr,Try a different category or check back later.,Jaribu kundi lingine au rudi baadaye.,
pollsGroupVotes,Group votes,Kura za kikundi,
pollsSecret,Secret,Siri,
pollsYouHaveVoted,You have voted,Umepiga kura,
pollsConnectToVote,Connect to vote,Unganisha ili kupiga kura,
pollsCouldNotLoadTheVotes,Could not load the votes,Imeshindwa kupakia kura,
pollsNoVotesYet,No votes yet,Hakuna kura bado,
memberPassbookMyReport,My report,Ripoti yangu,
memberPassbookMySavingsAcrossAllGroups,My savings across all groups,Akiba yangu katika vikundi vyote,
memberPassbookJoinAnotherGroup,Join another group,Jiunge na kikundi kingine,
memberPassbookYouAreNotInA,You are not in a group yet,Bado hujajiunga na kikundi,
memberPassbookNoTransactionsYet,No transactions yet,Hakuna miamala bado,
memberPassbookYourSavingsAndLoanRecords,Your savings and loan records will appear here.,Rekodi za akiba na mikopo yako zitaonekana hapa.,
joinRequestsJoinRequests,Join Requests,Maombi ya Kujiunga,
joinRequestsPeopleAskingToJoin,People asking to join,Watu wanaoomba kujiunga,
joinRequestsReasonOptional,Reason (optional),Sababu (si lazima),
joinRequestsNoOneIsWaiting,No one is waiting,Hakuna anayesubiri,
pollDetailCloseThisVote,Close this vote?,Funga kura hii?,
pollDetailCloseVote,Close Vote,Funga Kura,
pollDetailYourChoice,Your choice,Chaguo lako,
pollDetailNoMembersLoadedForThis,No members loaded for this group yet.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado.,
pollDetailMemberCastingThisVote,Member casting this vote,Mwanachama anayepiga kura hii,
groupPolicyHowLongALoanRuns,How long a loan runs,Mkopo hudumu muda gani,
groupPolicyInterestCharged,Interest charged,Riba inayotozwa,
groupPolicyExpensesArePaidFrom,Expenses are paid from,Gharama hulipwa kutoka,
groupPolicyRulesThatAreFixed,Rules that are fixed,Sheria zisizobadilika,
productDetailRequestOnCredit,Request on Credit,Omba kwa Mkopo,
productDetailSubmitRequest,Submit Request,Wasilisha Ombi,
productDetailPricedAtTheStandardDeposit,Priced at the standard deposit — rating unavailable.,Bei ya amana ya kawaida — kiwango hakipatikani.,
productDetailProgramme,Programme,Programu,
productDetailCustomerName,Customer name,Jina la mteja,
productDetailEmail,Email,Barua pepe,
productDetailGroupNameOptional,Group name (optional),Jina la kikundi (si lazima),
dashboardHello,Hello 👋,Habari 👋,
dashboardActiveLoans,Active Loans,Mikopo Hai,
dashboardFinesCollected,Fines Collected,Faini Zilizokusanywa,
disburseLoanLoanEligibility,Loan Eligibility,Ustahili wa Mkopo,
disburseLoanSelectMember,Select Member,Chagua Mwanachama,
disburseLoanPrincipalAmountKsh,Principal Amount (KSh),Kiasi cha Msingi (KSh),
disburseLoanDueDate,Due Date,Tarehe ya Mwisho,
joinGroupRequestSent,Request sent,Ombi limetumwa,
joinGroupAskYourGroupToAdd,Ask your group to add you,Omba kikundi chako kikuongeze,
joinGroupViewing,Viewing,Unatazama,
joinGroupGroupCode,Group code,Msimbo wa kikundi,
memberDetailEditDetails,Edit details,Badilisha maelezo,
memberDetailMemberReport,Member report,Ripoti ya mwanachama,
memberDetailNoLoansTaken,No loans taken,Hakuna mkopo uliochukuliwa,
memberDetailStartingPassword,Starting password,Nenosiri la kuanzia,
memberDetailAtLeast6Characters,At least 6 characters.,Angalau herufi 6.,
cyclesCloseCycle,Close cycle,Funga mzunguko,
cyclesSavingCycles,Saving Cycles,Mizunguko ya Akiba,
cyclesCloseCycleAndStartThe,Close cycle and start the next,Funga mzunguko na uanze ujao,
cyclesReadOnlyStillVisibleIn,Read-only — still visible in reports,Kusoma tu — bado inaonekana kwenye ripoti,
externalLoansCreditVentures,Credit ventures,Miradi ya mkopo,
externalLoansConnectToSeeLoanOffers,Connect to see loan offers,Unganisha ili kuona mikopo iliyopo,
externalLoansCouldNotLoadLoanOffers,Could not load loan offers,Imeshindwa kupakia mikopo iliyopo,
externalLoansNoLoanOffersRightNow,No loan offers right now,Hakuna mkopo kwa sasa,
accountServer,Server,Seva,
accountAppVersion,App version,Toleo la programu,
accountPhone,Phone,Simu,
businessProfileGroupBusiness,Group business,Biashara ya kikundi,
businessProfileWhatDoesTheGroupRun,What does the group run together?,Kikundi kinaendesha biashara gani pamoja?,
businessProfileTypeOfBusiness,Type of business,Aina ya biashara,
businessProfileEGPoultryCerealBuying,"e.g. poultry, cereal buying","mfano: kuku, ununuzi wa nafaka",
businessProfileMoneyInEachMonthKes,Money in each month (KES),Mapato kila mwezi (KES),
businessProfileCostsEachMonthKes,Costs each month (KES),Gharama kila mwezi (KES),
businessProfilePeopleItEmploys,People it employs,Watu inaowaajiri,
businessProfileBiggestProblemTheyFace,Biggest problem they face,Tatizo kubwa wanalokabiliana nalo,
recordVisitScoreTheGroup,Score the group,Pima kikundi,
recordVisitTheGroupSEnterprise,The group’s enterprise,Biashara ya kikundi,
recordVisitWhatTheyRunTogetherAnd,"What they run together, and how it is doing.","Wanachoendesha pamoja, na kinavyokwenda.",
recordVisitSavedOnThisPhoneFirst,"Saved on this phone first, then sent when you have signal.","Huhifadhiwa kwenye simu hii kwanza, kisha hutumwa ukipata mtandao.",
recordVisitWhyNotOptional,Why not? (optional),Kwa nini hapana? (si lazima),
recordVisitWhatYouFound,What you found,Uliyoyakuta,
agentHomeMyGroups,My Groups,Vikundi Vyangu,
agentHomeCaseloadReport,Caseload report,Ripoti ya vikundi,
agentHomeNoGroupsAssigned,No groups assigned,Hakuna kikundi ulichopewa,
agentHomeGroups,Groups,Vikundi,
agentHomeNeedSupport,Need support,Vinahitaji msaada,
loansLoanPortfolio,Loan Portfolio,Jalada la Mikopo,
loansSearchByMemberName,Search by member name,Tafuta kwa jina la mwanachama,
loansNoLoansHere,No loans here,Hakuna mikopo hapa,
threeKeyUnlockUnlockMeeting,Unlock Meeting,Fungua Mkutano,
threeKeyUnlockVerified,Verified,Imethibitishwa,
threeKeyUnlockSendANewCode,Send a new code,Tuma msimbo mpya,
threeKeyUnlockNoSmsUseMySaved,No SMS? Use my saved PIN instead,Hakuna SMS? Tumia PIN yangu iliyohifadhiwa,
threeKeyUnlockOneTimeCode,One-time code,Msimbo wa mara moja,
threeKeyUnlockRepeatPin,Repeat PIN,Rudia PIN,
memberReportNotSignedIn,Not signed in,Hujaingia,
memberReportSignInToYourAccount,Sign in to your account to see and share your report.,Ingia kwenye akaunti yako ili kuona na kushiriki ripoti yako.,
cloudDashboardCloudData,Cloud Data,Data ya Wingu,
cloudDashboardSavingsFund,Savings Fund,Mfuko wa Akiba,
cloudDashboardInternalLoans,Internal Loans,Mikopo ya Ndani,
serverSettingsOrUseAGroupAccess,or use a group access key,au tumia ufunguo wa kikundi,
serverSettingsViewOnlineRecords,View Online Records,Ona Rekodi za Mtandaoni,
serverSettingsBackUpThisGroup,Back Up This Group,Hifadhi Kikundi Hiki,
serverSettingsAccessKey,Access key,Ufunguo wa kuingia,
shareOutDistribute,Distribute,Gawanya,
shareOutFundToDistribute,Fund to distribute,Mfuko wa kugawanya,
shareOutSplitWelfareFundEqually,Split welfare fund equally,Gawanya mfuko wa jamii sawa,
shareOutNothingToShareOutYet,Nothing to share out yet,Hakuna cha kugawanya bado,
visitAssessmentAssessment,Assessment,Tathmini,
visitAssessmentFormNotAvailable,Form not available,Fomu haipatikani,
visitMentorshipMentorship,Mentorship,Ushauri,
visitMentorshipWhatDidYouCoachOn,What did you coach on?,Ulifundisha nini?,
visitMentorshipTapATopicToRecord,"Tap a topic to record it, then add what you advised.","Gusa mada ili kuirekodi, kisha andika ulichoshauri.",
visitMentorshipNowHandThePhoneTo,Now hand the phone to the group,Sasa mpe kikundi simu,
visitMentorshipWhatYouAdvised,What you advised,Ulichoshauri,
agentGroupDetailRecordAVisit,Record a visit,Rekodi ziara,
agentGroupDetailNoMembersLoaded,No members loaded.,Hakuna wanachama waliopakiwa.,
agentGroupDetailNoMeetingsLoaded,No meetings loaded.,Hakuna mikutano iliyopakiwa.,
agentGroupDetailToImprove,To improve,Ya kuboresha,
agentGroupDetailGovernance,Governance,Uongozi,
agentGroupDetailVslaCompliance,VSLA compliance,Ufuataji wa kanuni za VSLA,
recordFineReason,Reason,Sababu,
recordFineSpecifyReason,Specify reason,Eleza sababu,
addMemberRegisterMember,Register Member,Sajili Mwanachama,
addMemberPhoneOptional,Phone (optional),Simu (si lazima),
addMemberRole,Role,Nafasi,
editMemberEditMember,Edit member,Badilisha mwanachama,
membersRequestsToJoin,Requests to join,Maombi ya kujiunga,
membersNoMembersFound,No members found,Hakuna mwanachama aliyepatikana,
meetingSecurity3KeyUnlockBeforeMeetings,3-key unlock before meetings,Funguo 3 kabla ya mikutano,
meetingSecurityKeepPin,Keep PIN,Baki na PIN,
meetingSecurityReset,Reset,Weka upya,
agentReportCaseloadReport,Caseload Report,Ripoti ya Vikundi,
agentReportShareReport,Share Report,Shiriki Ripoti,
agentReportNeedsSupport,Needs support,Kinahitaji msaada,
agentReportNoRating,No rating,Hakuna kiwango,
agentReportNoGroupsYet,No groups yet,Hakuna vikundi bado,
groupReportNoGroupYet,No group yet,Hakuna kikundi bado,
groupReportSetUpYourGroupFirst,"Set up your group first, then come back for a report.","Sajili kikundi chako kwanza, kisha urudi kwa ripoti.",
groupReportNoMembersYet,No members yet,Hakuna wanachama bado,
groupReportMembersAppearHereOnceThey,Members appear here once they join the group.,Wanachama huonekana hapa wanapojiunga na kikundi.,
memberReportLocalMemberReport,Member Report,Ripoti ya Mwanachama,
memberReportLocalMemberNotFound,Member not found,Mwanachama hakupatikana,
memberReportLocalThisMemberIsNoLonger,This member is no longer in the group.,Mwanachama huyu hayupo tena kwenye kikundi.,
memberReportLocalLoansThisMemberTakesWill,Loans this member takes will appear here.,Mikopo atakayochukua mwanachama huyu itaonekana hapa.,
externalLoanApplyApplyForALoan,Apply for a Loan,Omba Mkopo,
externalLoanApplySubmitApplication,Submit Application,Wasilisha Ombi,
externalLoanApplyWhatIsTheLoanFor,What is the loan for?,Mkopo ni wa nini?,
externalLoanApplyEGBuyingMaizeSeed,e.g. Buying maize seed for the season,mfano: kununua mbegu za mahindi kwa msimu,
meetingsNoMeetingsYet,No meetings yet,Hakuna mikutano bado,
repaymentRecordRepayment,Record Repayment,Rekodi Marejesho,
repaymentNoOutstandingLoansNothingTo,No outstanding loans — nothing to repay. 🎉,Hakuna mkopo unaodaiwa — hakuna cha kurejesha. 🎉,
repaymentSelectLoan,Select Loan,Chagua Mkopo,
moreWhoIsSignedInLanguage,"Who is signed in, language, appearance and app details","Aliyeingia, lugha, mwonekano na maelezo ya programu",
moreIntelliCash,Intelli-Cash,Intelli-Cash,
mySavingsOnceAGroupAcceptsYou,"Once a group accepts you, your savings will show here.","Kikundi kikikukubali, akiba yako itaonekana hapa.",
buySharesEnterCodeByHand,Enter Code by Hand,Weka Msimbo kwa Mkono,
buySharesRecordPurchase,Record Purchase,Rekodi Ununuzi,
sharesLedgerNoPurchasesYet,No purchases yet,Hakuna ununuzi bado,
socialFundThisMeetingIsClosedThe,This meeting is closed — the record is read-only.,Mkutano huu umefungwa — rekodi ni ya kusoma tu.,
socialFundNoMembers,No members,Hakuna wanachama,
socialFundAddMembersToTheGroup,Add members to the group first.,Ongeza wanachama kwenye kikundi kwanza.,
welcomeUseTheWebConsoleFor,Use the web console for this account,Tumia tovuti kwa akaunti hii,
welcomeLoadYourGroupOntoThis,Load your group onto this phone,Pakia kikundi chako kwenye simu hii,
memberReportsTapAMemberToSee,Tap a member to see and share their report.,Gusa mwanachama ili kuona na kushiriki ripoti yake.,
openActionItemsNothingOutstanding,Nothing outstanding,Hakuna lililobaki,
openActionItemsThisGroupHasNoOpen,This group has no open actions from previous visits.,Kikundi hiki hakina kazi zilizobaki kutoka ziara zilizopita.,
openActionItemsFromTheLastVisit,From the last visit,Kutoka ziara iliyopita,
loanDetailNoRepaymentsYet,No repayments yet,Hakuna marejesho bado,
attendanceContinueToMeeting,Continue to Meeting,Endelea kwenye Mkutano,
appearanceChooseHowIntelliCashLooks,Choose how Intelli-Cash looks on this phone.,Chagua jinsi Intelli-Cash inavyoonekana kwenye simu hii.,
gatewayPaymentOpenThisLinkToPay,Open this link to pay:,Fungua kiungo hiki kulipa:,
agentHomeWhenGroupsAreAssignedToYou,"When groups are assigned to you, they appear here with their credit rating.","Vikundi vikikabidhiwa kwako, vitaonekana hapa pamoja na kiwango chao cha mkopo.",
dashboardTheSavingsCurveAppearsAfterYour,The savings curve appears after your first two meetings.,Mchoro wa akiba huonekana baada ya mikutano yako miwili ya kwanza.,
disburseLoanThisMemberHasNoBorrowingHeadroom,This member has no borrowing headroom — savings must grow or the current loan must reduce first.,Mwanachama huyu hana nafasi ya kukopa — akiba lazima iongezeke au mkopo wa sasa upungue kwanza.,
disburseLoanTheLoanFundIsEmptyCollect,The loan fund is empty. Collect share purchases or loan repayments before lending again.,Mfuko wa mikopo ni tupu. Kusanya ununuzi wa hisa au marejesho ya mikopo kabla ya kukopesha tena.,
loanDetailRepaymentsAreRecordedInsideMeetingsAnd,Repayments are recorded inside meetings and appear here instantly.,Marejesho hurekodiwa ndani ya mikutano na huonekana hapa mara moja.,
loansLoansAreDisbursedInsideAMeeting,Loans are disbursed inside a meeting — open a meeting and use Disburse Loan.,Mikopo hutolewa ndani ya mkutano — fungua mkutano kisha tumia Toa Mkopo.,
gatewayPaymentRequestSentAskTheMemberTo,Request sent. Ask the member to enter their M-Pesa PIN on their phone.,Ombi limetumwa. Mwambie mwanachama aweke PIN yake ya M-Pesa kwenye simu yake.,
meetingHubThisMeetingIsClosedItsRecords,This meeting is closed. Its records are read-only and form part of the audit trail.,Mkutano huu umefungwa. Rekodi zake ni za kusoma tu na ni sehemu ya kumbukumbu za ukaguzi.,
meetingHubAllRecordsInThisMeetingWill,All records in this meeting will be locked permanently. This cannot be undone.,Rekodi zote za mkutano huu zitafungwa milele. Hili haliwezi kutenguliwa.,
meetings3KeyUnlockIsOnOfficials,3-key unlock is on: officials confirm their PINs before the meeting opens.,Funguo 3 zimewashwa: viongozi huthibitisha PIN zao kabla mkutano kufunguliwa.,
meetingsStartYourFirstMeetingToRecord,"Start your first meeting to record attendance, savings, fines and loans.","Anzisha mkutano wako wa kwanza ili kurekodi mahudhurio, akiba, faini na mikopo.",
meetingsClosedMeetingsAreLockedTheirRecords,Closed meetings are locked — their records form the group\'s permanent audit trail.,Mikutano iliyofungwa imefungwa — rekodi zake ni kumbukumbu za kudumu za kikundi.,
sharesLedgerSharePurchasesLandHereTheMoment,Share purchases land here the moment they are recorded.,Ununuzi wa hisa huonekana hapa mara tu unaporekodiwa.,
joinGroupYourGroupHasACodeOn,Your group has a code on its records — ask the secretary if you do not know it. Sending a request does not open the group\'s books to you; an official has to accept you first.,Kikundi chako kina msimbo kwenye rekodi zake — muulize katibu kama hukijui. Kutuma ombi hakukufungulii vitabu vya kikundi; kiongozi lazima akukubali kwanza.,
memberPassbookAskYourGroupToAddYou,Ask your group to add you and your savings will show up here.,Omba kikundi chako kikuongeze na akiba yako itaonekana hapa.,
editMemberCorrectingASpellingOrAMistyped,"Correcting a spelling or a mistyped number. Their savings, loans and attendance stay exactly as they are.","Kurekebisha herufi au namba iliyokosewa. Akiba, mikopo na mahudhurio yao hubaki kama yalivyo.",
joinRequestsTheyWillNotBeAddedTo,They will not be added to the group. You can say why if you want to — it is not required.,Hataongezwa kwenye kikundi. Unaweza kueleza sababu ukitaka — si lazima.,
joinRequestsThisListIsOutOfDate,"This list is out of date. Pull down to refresh, then check the answer again.","Orodha hii si ya sasa. Vuta chini ili kuonyesha upya, kisha angalia jibu tena.",
joinRequestsWhenSomeoneAsksToJoinYour,"When someone asks to join your group, their request will show up here for you to answer.","Mtu akiomba kujiunga na kikundi chako, ombi lake litaonekana hapa ili ulijibu.",
memberDetailToCreateASignInAccount,"To create a sign-in account, first back this group up to the cloud (More → Sync & Backup) while online.","Ili kutengeneza akaunti ya kuingia, kwanza hifadhi kikundi hiki kwenye wingu (Mangine → Sync & Backup) ukiwa mtandaoni.",
memberDetailLoansThisMemberTakesWillBe,Loans this member takes will be listed here with their live status.,Mikopo atakayochukua mwanachama huyu itaorodheshwa hapa na hali yake ya sasa.,
membersAddMembersWithTheButtonBelow,Add members with the button below — each gets an individual savings and loan profile.,Ongeza wanachama kwa kitufe kilicho chini — kila mmoja hupata rekodi yake ya akiba na mikopo.,
meetingSecurityAssignAChairpersonSecretaryAndTreasurer,"Assign a chairperson, secretary and treasurer below so three officials can unlock meetings. Until then, most members\' PINs are needed instead.","Teua mwenyekiti, katibu na mweka hazina hapa chini ili viongozi watatu waweze kufungua mikutano. Hadi hapo, PIN za wanachama wengi ndizo zitahitajika.",
meetingSecurityTheOldPinStopsWorkingThe,The old PIN stops working. The member chooses a new PIN the next time they turn their key at a meeting unlock.,PIN ya zamani huacha kufanya kazi. Mwanachama huchagua PIN mpya wakati mwingine atakapotumia ufunguo wake kufungua mkutano.,
moreYourGroupSSavingsAndLoans,"Your group\'s savings and loans, right on your phone. Everything is saved on this phone first and backed up online when you have internet.\n\nIntelli-Wealth Limited · intelliwealth.org","Akiba na mikopo ya kikundi chako, hapo hapo kwenye simu yako. Kila kitu huhifadhiwa kwenye simu hii kwanza, kisha hufanyiwa nakala mtandaoni ukipata intaneti.

Intelli-Wealth Limited · intelliwealth.org",
moreNoInternetYourRecordsAreSafe,No internet — your records are safe on this phone and will back up later.,Hakuna intaneti — rekodi zako ziko salama kwenye simu hii na zitahifadhiwa baadaye.,
