key,english,kiswahili_for_reference,Dholuo_draft,Dholuo_corrected,ok_as_is
signOutKeepsRecords,"Your group's savings, loans and meetings stay saved on this phone, but nobody can open them until you sign in again. Your phone number will be remembered.","Akiba, mikopo na mikutano ya kikundi chenu vitabaki vimehifadhiwa kwenye simu hii, lakini hakuna atakayeweza kuvifungua hadi uingie tena. Nambari yako ya simu itakumbukwa.","Pesa, hola kod chokruoge mag riwruok mau dhi siko kokan e simu ni, to onge ngʼama nyalo yawogi kapok idonjo kendo. Namba mar simu mari ibiro par.",,
signOutMemberNote,You will need to sign in again to see your savings. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona akiba yako. Nambari yako ya simu itakumbukwa.,Ibiro dwaro donjo kendo mondo ine pesa mokan magi. Namba mar simu mari ibiro par.,,
signOutAgentNote,You will need to sign in again to see your groups. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona vikundi vyako. Nambari yako ya simu itakumbukwa.,Ibiro dwaro donjo kendo mondo ine riwruoge magi. Namba mar simu mari ibiro par.,,
whoIsSigningIn,Who is signing in?,Nani anaingia?,En ngʼa madonjo?,,
whoIsSigningInSubtitle,"Choose the kind of account you use, then enter your phone number and password.","Chagua aina ya akaunti unayotumia, kisha weka nambari yako ya simu na nenosiri.","Yier kit akaunt mitiyogo, eka iket namba mar simu mari kod wach mopondo.",,
welfareRecordThisPayment,Record this payment?,Rekodi malipo haya?,Ndik chudoni?,,
welfareRecordPayment,Record payment,Rekodi malipo,Ndik chudo,,
welfareWelfareFund,Welfare Fund,Mfuko wa Jamii,Sanduk mar Kony,,
welfareCouldNotLoadTheWelfare,Could not load the welfare fund.,Imeshindwa kupakia mfuko wa jamii.,Sanduk mar kony ok nyal yudore.,,
welfareTryAgain,Try again,Jaribu tena,Tem kendo,,
welfareLeftInTheWelfareFund,Left in the welfare fund,Kilichobaki kwenye mfuko wa jamii,Modongʼ e sanduk mar kony,,
welfareRecordAWelfarePayment,Record a welfare payment,Rekodi malipo ya jamii,Ndik chudo mar kony,,
welfarePaidOutThisCycle,Paid out this cycle,Kilicholipwa mzunguko huu,Mosechul e ndaloni,,
welfareNothingPaidOutYetThe,Nothing paid out yet — the whole welfare fund will be shared.,Hakuna kilicholipwa bado — mfuko wote wa jamii utagawanywa.,Onge gima osechul — sanduk mar kony duto ibiro pogi.,,
welfareRecordedInMeeting,Recorded in meeting,Imerekodiwa kwenye mkutano,Ondiki e chokruok,,
welfareAmountKsh,Amount (KSh),Kiasi (KSh),Kar romo (KSh),,
welfareWhatFor,What for,Kwa ajili gani,Ne angʼo,,
welfarePaidTo,Paid to,Amelipwa,Ochul ne,,
welfareAMemberAFamilyOr,"A member, a family, or a hospital — whoever received it","Mwanachama, familia au hospitali — yeyote aliyepokea","Jamembe, joot, kata osiptal — ngʼat moro amora mane oyudo",,
welfareNoteOptional,Note (optional),Maelezo (si lazima),Weche (ok ochuno),,
meetingHubEditAttendance,Edit attendance,Badilisha mahudhurio,Lok bedo e chokruok,,
meetingHubCloseLockMeeting,Close & Lock Meeting,Funga na Ufunge Mkutano,Lor kendo Lor Chokruok,,
meetingHubClosingLocksAllRecordsPermanently,Closing locks all records permanently.,Kufunga hufunga rekodi zote milele.,Loro loro ndiko duto nyaka chiengʼ.,,
meetingHubKeepOpen,Keep Open,Acha Wazi,We Oyaw,,
meetingHubCloseLock,Close & Lock,Funga na Ufunge,Lor kendo Lor,,
meetingHubSocialFund,Social Fund,Mfuko wa Jamii,Sanduk mar Kony,,
meetingHubBuyShares,Buy Shares,Nunua Hisa,Ngʼiew Hisa,,
meetingHubRecordFine,Record Fine,Rekodi Faini,Ndik Chudo,,
meetingHubDisburseLoan,Disburse Loan,Toa Mkopo,Chiw Hola,,
meetingHubRepayment,Repayment,Marejesho,Chulo,,
meetingHubShareRecords,Share Records,Rekodi za Hisa,Ndiko mag Hisa,,
meetingHubVoting,Voting,Kupiga Kura,Yiero,,
meetingHubWelfare,Welfare,Jamii,Kony,,
meetingHubIntelliStore,Intelli-Store,Intelli-Store,Intelli-Store,,
meetingHubExternalLoans,External Loans,Mikopo ya Nje,Hola mag Oko,,
groupSetupWizardAddTheMembersJoiningThis,Add the members joining this cycle. You can always add more later.,Ongeza wanachama wanaojiunga na mzunguko huu. Unaweza kuongeza wengine baadaye.,Med jomembe madonjo e ndaloni. Inyalo medo mamoko bangʼe.,,
groupSetupWizardEveryoneBuysSharesAtOne,Everyone buys shares at one fixed price,Kila mtu ananunua hisa kwa bei moja isiyobadilika,Ngʼato ka ngʼato ngʼiewo hisa gi nengo achiel ma ok lokre,,
groupSetupWizardMembersSaveWhatTheyCan,Members save what they can each meeting,Wanachama huweka akiba kadri wawezavyo kila mkutano,Jomembe kano gima ginyalo e chokruok ka chokruok,,
groupSetupWizardGroupName,Group Name,Jina la Kikundi,Nying Riwruok,,
groupSetupWizardCycleNumber,Cycle Number,Namba ya Mzunguko,Namba mar Ndalo,,
groupSetupWizardWhichSavingsCycleIsThis,Which savings cycle is this group on?,Kikundi hiki kiko kwenye mzunguko upi wa akiba?,Riwruokni ni e ndalo mar kano mane?,,
groupSetupWizardMemberName,Member Name,Jina la Mwanachama,Nying Jamembe,,
groupSetupWizardAddMember,Add member,Ongeza mwanachama,Med jamembe,,
groupSetupWizardRemove,Remove,Ondoa,Gol,,
groupSetupWizardShareValueKsh,Share Value (KSh),Thamani ya Hisa (KSh),Nengo mar Hisa (KSh),,
groupSetupWizardMaxSharesPerMeeting,Max Shares per Meeting,Hisa za Juu Kila Mkutano,Hisa Mangʼeny e Chokruok Achiel,,
groupSetupWizardSocialFundPerMeetingKsh,Social Fund per Meeting (KSh),Mfuko wa Jamii Kila Mkutano (KSh),Sanduk mar Kony e Chokruok Achiel (KSh),,
groupSetupWizardTrackedSeparatelyFromSavings,Tracked separately from savings,Hufuatiliwa tofauti na akiba,Iluwo kama opogore gi pesa mokan,,
groupSetupWizardInterestRatePerMonth,Interest Rate (% per month),Riba (% kwa mwezi),Ohala (% e dwe achiel),,
groupSetupWizardMaxLoanMultiplierSavings,Max Loan Multiplier (× savings),Kikomo cha Mkopo (× akiba),Tongʼ mar Hola (× pesa mokan),,
groupSetupWizardDefaultLoanTermMonths,Default Loan Term (months),Muda wa Kawaida wa Mkopo (miezi),Kinde mar Hola (dweche),,
groupSyncBackUpToCloud,Back Up to Cloud,Hifadhi Kwenye Wingu,Kan e Bor,,
groupSyncUnlinkGroup,Unlink group?,Ondoa kiungo cha kikundi?,Gol tudruok mar riwruok?,,
groupSyncUnlink,Unlink,Ondoa kiungo,Gol tudruok,,
groupSyncNotConnected,Not connected,Haijaunganishwa,Ok otudore,,
groupSyncOpenServerConnection,Open Server Connection,Fungua Muunganisho wa Seva,Yaw Tudruok mar Seva,,
groupSyncLink,Link,Unganisha,Tud,,
groupSyncUnlinkGroup2,Unlink Group,Ondoa Kiungo cha Kikundi,Gol Tudruok mar Riwruok,,
groupSyncNoBackendGroups,No backend groups,Hakuna vikundi kwenye seva,Onge riwruoge e seva,,
groupSyncThisApiKeyCannotSee,This API key cannot see any groups to link to.,Ufunguo huu hauwezi kuona kikundi chochote cha kuunganisha.,Rayaw ni ok nyal neno riwruok moro amora ma dotudre.,,
groupSyncBackendGroup,Backend group,Kikundi kwenye seva,Riwruok manie seva,,
createPollStartAVote,Start a Vote,Anzisha Kura,Chak Yiero,,
createPollEveryonePresentVotesOnceNobody,Everyone present votes once. Nobody can vote twice.,Kila aliyepo hupiga kura mara moja. Hakuna anayeweza kupiga mara mbili.,Ngʼato ka ngʼato manie kanyo yiero dichiel. Onge ngʼama nyalo yiero didiriyo.,,
createPollChooseALeader,Choose a leader,Chagua kiongozi,Yier jatelo,,
createPollDecideSomething,Decide something,Amua jambo,Ngʼad wach moro,,
createPollTickAtLeastTwoPeople,Tick at least two people.,Chagua angalau watu wawili.,Yier ji ariyo kata mokalo.,,
createPollAddAnotherAnswer,Add another answer,Ongeza jibu lingine,Med duoko machielo,,
createPollSecretVote,Secret vote,Kura ya siri,Yiero mopondo,,
createPollOpenTheVote,Open the Vote,Fungua Kura,Yaw Yiero,,
createPollWhichPosition,Which position?,Nafasi ipi?,Kar tich mane?,,
createPollWhatIsTheQuestion,What is the question?,Swali ni lipi?,Penjo en angʼo?,,
createPollShouldWeBuyAGroup,Should we buy a group water tank?,"Je, tununue tanki la maji la kikundi?",Bende wangʼiew tank mar pi mar riwruok?,,
paymentProvidersLeaveABoxEmptyTo,Leave a box empty to keep what is already saved.,Acha kisanduku wazi ili kubaki na kilichohifadhiwa.,We sanduk nono mondo ikan gima osekan.,,
paymentProvidersSave,Save,Hifadhi,Kan,,
paymentProvidersUseThePlatformAccount,Use the platform account?,Tumia akaunti ya jukwaa?,Ti gi akaunt mar platform?,,
paymentProvidersPaymentProviders,Payment Providers,Watoa Huduma za Malipo,Jomiyo Chudo,,
paymentProvidersUsePlatform,Use platform,Tumia jukwaa,Ti gi platform,,
storeShopOnCredit,Shop on credit,Nunua kwa mkopo,Ngʼiew gi hola,,
storeLoanOffersFromLendingPartners,Loan offers from lending partners — apply as a group.,Mikopo kutoka kwa washirika wa kukopesha — omba kama kikundi.,Hola moa kuom joma holo — kwa kaka riwruok.,,
storeSeeAllExternalLoans,See all external loans,Ona mikopo yote ya nje,Ne hola duto moa oko,,
storeConnectToBrowseTheStore,Connect to browse the store,Unganisha ili kutazama duka,Tud mondo ine ohala,,
storeOpenCloudAccount,Open Cloud Account,Fungua Akaunti ya Wingu,Yaw Akaunt mar Bor,,
storeAll,All,Zote,Duto,,
storeCouldNotLoadTheStore,Could not load the store,Imeshindwa kupakia duka,Ohala ok nyal yudore,,
storeNoProductsInThisCategory,No products in this category,Hakuna bidhaa katika kundi hili,Onge gik moko e kit ni,,
storeTryADifferentCategoryOr,Try a different category or check back later.,Jaribu kundi lingine au rudi baadaye.,Tem kit machielo kata iduogi bangʼe.,,
pollsNewVote,New Vote,Kura Mpya,Yiero Manyien,,
pollsGroupVotes,Group votes,Kura za kikundi,Yiero mag riwruok,,
pollsSecret,Secret,Siri,Mopondo,,
pollsYouHaveVoted,You have voted,Umepiga kura,Iseyiero,,
pollsConnectToVote,Connect to vote,Unganisha ili kupiga kura,Tud mondo iyier,,
pollsCouldNotLoadTheVotes,Could not load the votes,Imeshindwa kupakia kura,Yiero ok nyal yudore,,
pollsNoVotesYet,No votes yet,Hakuna kura bado,Onge yiero pod,,
memberPassbookMyPassbook,My Passbook,Kitabu Changu,Buga,,
memberPassbookJoinAGroup,Join a group,Jiunge na kikundi,Donj e riwruok,,
memberPassbookMyReport,My report,Ripoti yangu,Ripot mara,,
memberPassbookMySavingsAcrossAllGroups,My savings across all groups,Akiba yangu katika vikundi vyote,Pesa mokan maga e riwruoge duto,,
memberPassbookJoinAnotherGroup,Join another group,Jiunge na kikundi kingine,Donj e riwruok machielo,,
memberPassbookYouAreNotInA,You are not in a group yet,Bado hujajiunga na kikundi,Pod ok in e riwruok moro,,
memberPassbookNoTransactionsYet,No transactions yet,Hakuna miamala bado,Onge weche motim pod,,
memberPassbookYourSavingsAndLoanRecords,Your savings and loan records will appear here.,Rekodi za akiba na mikopo yako zitaonekana hapa.,Ndiko mag pesa mokan kod hola magi biro nenore ka.,,
joinRequestsDecline,Decline,Kataa,Kwed,,
joinRequestsJoinRequests,Join Requests,Maombi ya Kujiunga,Kwayo mar Donjo,,
joinRequestsPeopleAskingToJoin,People asking to join,Watu wanaoomba kujiunga,Ji makwayo mondo odonji,,
joinRequestsApprove,Approve,Kubali,Yie,,
joinRequestsReasonOptional,Reason (optional),Sababu (si lazima),Gimomiyo (ok ochuno),,
joinRequestsNoOneIsWaiting,No one is waiting,Hakuna anayesubiri,Onge ngʼama rito,,
pollDetailCloseThisVote,Close this vote?,Funga kura hii?,Lor yieroni?,,
pollDetailCloseVote,Close Vote,Funga Kura,Lor Yiero,,
pollDetailVote,Vote,Piga Kura,Yier,,
pollDetailYourChoice,Your choice,Chaguo lako,Yierni,,
pollDetailNoMembersLoadedForThis,No members loaded for this group yet.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado.,Onge jomembe moyudi ne riwruokni pod.,,
pollDetailMemberCastingThisVote,Member casting this vote,Mwanachama anayepiga kura hii,Jamembe mayiero e yieroni,,
groupPolicyHowLongALoanRuns,How long a loan runs,Mkopo hudumu muda gani,Hola kawo kinde marom nade,,
groupPolicyInterestCharged,Interest charged,Riba inayotozwa,Ohala mikawo,,
groupPolicyExpensesArePaidFrom,Expenses are paid from,Gharama hulipwa kutoka,Ohala ichulo koa,,
groupPolicyRulesThatAreFixed,Rules that are fixed,Sheria zisizobadilika,Chike ma ok lokre,,
productDetailRequestOnCredit,Request on Credit,Omba kwa Mkopo,Kwa gi Hola,,
productDetailQuantity,Quantity,Idadi,Kar romo,,
productDetailSubmitRequest,Submit Request,Wasilisha Ombi,Or Kwayo,,
productDetailPricedAtTheStandardDeposit,Priced at the standard deposit — rating unavailable.,Bei ya amana ya kawaida — kiwango hakipatikani.,Nengo mar chudo mokwongo machalre — pim ok yudre.,,
productDetailProgramme,Programme,Programu,Chenro,,
productDetailCustomerName,Customer name,Jina la mteja,Nying jangʼiewo,,
productDetailEmail,Email,Barua pepe,Baruwa mar intanet,,
productDetailGroupNameOptional,Group name (optional),Jina la kikundi (si lazima),Nying riwruok (ok ochuno),,
dashboardHello,Hello 👋,Habari 👋,Amosi 👋,,
dashboardTotalSavings,Total Savings,Jumla ya Akiba,Pesa Duto Mokan,,
dashboardActiveLoans,Active Loans,Mikopo Hai,Hola Matiyo,,
dashboardFinesCollected,Fines Collected,Faini Zilizokusanywa,Chudo Mochoki,,
disburseLoanLoanEligibility,Loan Eligibility,Ustahili wa Mkopo,Romo mar Yudo Hola,,
disburseLoanSelectMember,Select Member,Chagua Mwanachama,Yier Jamembe,,
disburseLoanPrincipalAmountKsh,Principal Amount (KSh),Kiasi cha Msingi (KSh),Pesa Mokwongo (KSh),,
disburseLoanDueDate,Due Date,Tarehe ya Mwisho,Odiechiengʼ mar Chulo,,
joinGroupRequestSent,Request sent,Ombi limetumwa,Kwayo oor,,
joinGroupDone,Done,Imekamilika,Otiek,,
joinGroupAskYourGroupToAdd,Ask your group to add you,Omba kikundi chako kikuongeze,Kwa riwruok mari mondo omedi,,
joinGroupSendRequest,Send request,Tuma ombi,Or kwayo,,
joinGroupViewing,Viewing,Unatazama,Ineno,,
joinGroupGroupCode,Group code,Msimbo wa kikundi,Rangʼiny mar riwruok,,
memberDetailEditDetails,Edit details,Badilisha maelezo,Lok weche,,
memberDetailMemberReport,Member report,Ripoti ya mwanachama,Ripot mar jamembe,,
memberDetailNoLoansTaken,No loans taken,Hakuna mkopo uliochukuliwa,Onge hola mokaw,,
memberDetailStartingPassword,Starting password,Nenosiri la kuanzia,Wach mopondo mar chakruok,,
memberDetailAtLeast6Characters,At least 6 characters.,Angalau herufi 6.,Otonge 6 kata mokalo.,,
cyclesCloseCycle,Close cycle,Funga mzunguko,Lor ndalo,,
cyclesSavingCycles,Saving Cycles,Mizunguko ya Akiba,Ndalo mag Kano,,
cyclesCloseCycleAndStartThe,Close cycle and start the next,Funga mzunguko na uanze ujao,Lor ndalo kendo ichak machielo,,
cyclesReadOnlyStillVisibleIn,Read-only — still visible in reports,Kusoma tu — bado inaonekana kwenye ripoti,Somo kende — pod nenore e ripot,,
externalLoansCreditVentures,Credit ventures,Miradi ya mkopo,Chenro mag hola,,
externalLoansConnectToSeeLoanOffers,Connect to see loan offers,Unganisha ili kuona mikopo iliyopo,Tud mondo ine hola manie,,
externalLoansCouldNotLoadLoanOffers,Could not load loan offers,Imeshindwa kupakia mikopo iliyopo,Hola ok nyal yudore,,
externalLoansNoLoanOffersRightNow,No loan offers right now,Hakuna mkopo kwa sasa,Onge hola sani,,
accountAccount,Account,Akaunti,Akaunt,,
accountServer,Server,Seva,Seva,,
accountAppVersion,App version,Toleo la programu,Kit app,,
accountPhone,Phone,Simu,Simu,,
businessProfileGroupBusiness,Group business,Biashara ya kikundi,Ohala mar riwruok,,
businessProfileWhatDoesTheGroupRun,What does the group run together?,Kikundi kinaendesha biashara gani pamoja?,Riwruok tiyo ohala mane kaachiel?,,
businessProfileTypeOfBusiness,Type of business,Aina ya biashara,Kit ohala,,
businessProfileEGPoultryCerealBuying,"e.g. poultry, cereal buying","mfano: kuku, ununuzi wa nafaka","kaka: gweno, ngʼiewo cham",,
businessProfileMoneyInEachMonthKes,Money in each month (KES),Mapato kila mwezi (KES),Pesa madonjo dwe ka dwe (KES),,
businessProfileCostsEachMonthKes,Costs each month (KES),Gharama kila mwezi (KES),Ohala dwe ka dwe (KES),,
businessProfilePeopleItEmploys,People it employs,Watu inaowaajiri,Ji mumiyo tich,,
businessProfileBiggestProblemTheyFace,Biggest problem they face,Tatizo kubwa wanalokabiliana nalo,Chandruok maduongʼ ma giromogo,,
recordVisitSettings,Settings,Mipangilio,Chenro,,
recordVisitScoreTheGroup,Score the group,Pima kikundi,Pim riwruok,,
recordVisitTheGroupSEnterprise,The group’s enterprise,Biashara ya kikundi,Ohala mar riwruok,,
recordVisitWhatTheyRunTogetherAnd,"What they run together, and how it is doing.","Wanachoendesha pamoja, na kinavyokwenda.","Gima gitiyo kaachiel, kod kaka odhi.",,
recordVisitSavedOnThisPhoneFirst,"Saved on this phone first, then sent when you have signal.","Huhifadhiwa kwenye simu hii kwanza, kisha hutumwa ukipata mtandao.","Ikane e simu ni mokwongo, eka oor ka iyudo mtandao.",,
recordVisitWhyNotOptional,Why not? (optional),Kwa nini hapana? (si lazima),Angʼo momiyo ok? (ok ochuno),,
recordVisitWhatYouFound,What you found,Uliyoyakuta,Gima ineno,,
agentHomeMyGroups,My Groups,Vikundi Vyangu,Riwruoge Maga,,
agentHomeCaseloadReport,Caseload report,Ripoti ya vikundi,Ripot mar riwruoge,,
agentHomeNoGroupsAssigned,No groups assigned,Hakuna kikundi ulichopewa,Onge riwruok momiyi,,
agentHomeGroups,Groups,Vikundi,Riwruoge,,
agentHomeNeedSupport,Need support,Vinahitaji msaada,Dwaro kony,,
loansLoanPortfolio,Loan Portfolio,Jalada la Mikopo,Bug Hola,,
loansActive,Active,Hai,Matiyo,,
loansSearchByMemberName,Search by member name,Tafuta kwa jina la mwanachama,Many gi nying jamembe,,
loansNoLoansHere,No loans here,Hakuna mikopo hapa,Onge hola ka,,
threeKeyUnlockUnlockMeeting,Unlock Meeting,Fungua Mkutano,Yaw Chokruok,,
threeKeyUnlockVerified,Verified,Imethibitishwa,Osegurore,,
threeKeyUnlockSendANewCode,Send a new code,Tuma msimbo mpya,Or rangʼiny manyien,,
threeKeyUnlockNoSmsUseMySaved,No SMS? Use my saved PIN instead,Hakuna SMS? Tumia PIN yangu iliyohifadhiwa,Onge SMS? Ti gi PIN mara mokan,,
threeKeyUnlockOneTimeCode,One-time code,Msimbo wa mara moja,Rangʼiny mar dichiel,,
threeKeyUnlockRepeatPin,Repeat PIN,Rudia PIN,Nwo PIN,,
memberReportMyReport,My Report,Ripoti Yangu,Ripot Mara,,
memberReportShare,Share,Shiriki,Pog,,
memberReportNotSignedIn,Not signed in,Hujaingia,Ok idonjo,,
memberReportSignInToYourAccount,Sign in to your account to see and share your report.,Ingia kwenye akaunti yako ili kuona na kushiriki ripoti yako.,Donji e akaunt mari mondo ine kendo ipog ripot mari.,,
cloudDashboardCloudData,Cloud Data,Data ya Wingu,Weche mag Bor,,
cloudDashboardRefresh,Refresh,Onyesha upya,Nwo,,
cloudDashboardSavingsFund,Savings Fund,Mfuko wa Akiba,Sanduk mar Kano,,
cloudDashboardInternalLoans,Internal Loans,Mikopo ya Ndani,Hola mag Iye,,
serverSettingsOrUseAGroupAccess,or use a group access key,au tumia ufunguo wa kikundi,kata ti gi rayaw mar riwruok,,
serverSettingsViewOnlineRecords,View Online Records,Ona Rekodi za Mtandaoni,Ne Ndiko manie Intanet,,
serverSettingsBackUpThisGroup,Back Up This Group,Hifadhi Kikundi Hiki,Kan Riwruokni,,
serverSettingsAccessKey,Access key,Ufunguo wa kuingia,Rayaw,,
shareOutDistribute,Distribute,Gawanya,Pog,,
shareOutFundToDistribute,Fund to distribute,Mfuko wa kugawanya,Pesa mibiro pogi,,
shareOutSplitWelfareFundEqually,Split welfare fund equally,Gawanya mfuko wa jamii sawa,Pog sanduk mar kony maromre,,
shareOutNothingToShareOutYet,Nothing to share out yet,Hakuna cha kugawanya bado,Onge gima ipogo pod,,
visitAssessmentAssessment,Assessment,Tathmini,Pim,,
