key,english,kiswahili_for_reference,Gikuyu_draft,Gikuyu_corrected,ok_as_is
accountTypeGroupSubtitle,"This phone will keep our group's savings, loans and meetings.","Simu hii itatunza akiba, mikopo na mikutano ya kikundi chetu.","Thimũ ĩno nĩyo ĩkũiga ũigi, mĩkopo na mĩcemanio ya gĩkundi gĩitũ.",,
accountTypeMember,Just Me,Mimi Peke Yangu,Niĩ Nyiki,,
accountTypeMemberSubtitle,"I want to see my own savings, shares and loans.","Nataka kuona akiba, hisa na mikopo yangu.","Nĩngwenda kuona ũigi, hisa na mĩkopo yakwa.",,
accountTypeAgent,Field Agent,Wakala wa Ugani,Mũrũgamĩrĩri wa Mũgũnda,,
accountTypeAgentSubtitle,Village Agent or CBT — I support and monitor several groups.,Wakala wa Kijiji au CBT — nasaidia na kufuatilia vikundi kadhaa.,Mũrũgamĩrĩri wa Itũũra kana CBT — nĩndeithagia na ngarora ikundi nyingĩ.,,
change,Change,Badilisha,Garũra,,
groupNameLabel,Group name,Jina la kikundi,Rĩĩtwa rĩa gĩkundi,,
yourFullName,Your full name,Jina lako kamili,Rĩĩtwa rĩaku rĩothe,,
phoneNumber,Phone number,Nambari ya simu,Namba ya thimũ,,
password,Password,Nenosiri,Kĩhithe,,
passwordHint,At least 6 characters — keep it secret.,Angalau herufi 6 — liweke siri.,Ndemwa 6 kana nyingĩ — kĩige kĩrĩ kĩhithe.,,
repeatPassword,Repeat password,Rudia nenosiri,Cookera kĩhithe,,
emailOptional,Email (optional),Barua pepe (si lazima),Barũa ya ĩntaneti (ti bata),,
countyOptional,County (optional),Kaunti (si lazima),Kaũnti (ti bata),,
createMyAccount,Create My Account,Fungua Akaunti Yangu,Thondeka Akaũnti Yakwa,,
creatingAccount,Creating account…,Inafungua akaunti…,Nĩgũthondekwo akaũnti…,,
registerNeedsInternet,Creating an account needs an internet connection. Your phone number is your sign-in.,Kufungua akaunti kunahitaji intaneti. Nambari yako ya simu ndiyo utakayotumia kuingia.,Gũthondeka akaũnti nĩkũbataraga ĩntaneti. Namba yaku ya thimũ nĩyo ũkũhũthĩra gũtoonya.,,
welcomeBack,Welcome back,Karibu tena,Wamũkĩro rĩngĩ,,
signInWithPhone,Sign in with your phone number and password.,Ingia kwa nambari yako ya simu na nenosiri.,Toonya na namba yaku ya thimũ na kĩhithe.,,
phoneOrEmail,Phone number or email,Nambari ya simu au barua pepe,Namba ya thimũ kana barũa ya ĩntaneti,,
signingIn,Signing in…,Inaingia…,Nĩgũtoonywo…,,
sessionNote,Your session lasts 8 hours. The group's record book keeps working offline once you are signed in.,Kipindi chako hudumu saa 8; daftari la nje ya mtandao huendelea kufanya kazi bila kuingia tena.,Mahinda maku nĩ mathaa 8. Ibuku rĩa gĩkundi rĩthiaga na mbere kũruta wĩra o na hatarĩ ĩntaneti waarĩkia gũtoonya.,,
sectionGroup,Group,Kikundi,Gĩkundi,,
sectionReports,Reports,Ripoti,Ripoti,,
sectionEndOfCycle,End of cycle,Mwisho wa mzunguko,Mũthia wa mũthiũrũrũko,,
sectionCloudBackup,Cloud & backup,Wingu na hifadhi,Matu na kũiga,,
sectionAppearance,Appearance,Muonekano,Mũonekere,,
sectionLanguage,Language,Lugha,Rũthiomi,,
sectionAbout,About,Kuhusu,Ũhoro,,
groupSettings,Group Settings,Mipangilio ya Kikundi,Mĩbango ya Gĩkundi,,
groupSettingsSubtitle,"Savings, loans and meeting days","Akiba, mikopo na siku za mikutano","Ũigi, mĩkopo na mĩthenya ya mĩcemanio",,
meetingSecurity,Meeting Security,Usalama wa Mkutano,Ũgitĩri wa Mũcemanio,,
memberAccounts,Member Accounts,Akaunti za Wanachama,Akaũnti cia Amemba,,
memberAccountsSubtitle,Let members get their own sign-in to see their savings,Ruhusu wanachama wapate akaunti zao kuona akiba zao,Rekereria amemba magĩe na akaũnti ciao mone ũigi wao,,
groupRules,Group Rules,Sheria za Kikundi,Mawatho ma Gĩkundi,,
groupReport,Group Report,Ripoti ya Kikundi,Ripoti ya Gĩkundi,,
groupReportSubtitle,"Money, members and meetings — share text or PDF","Pesa, wanachama na mikutano — tuma maandishi au PDF","Mbeca, amemba na mĩcemanio — tũma maandĩko kana PDF",,
memberReports,Member Reports,Ripoti za Wanachama,Ripoti cia Amemba,,
memberReportsSubtitle,A statement for each member — share text or PDF,Taarifa ya kila mwanachama — tuma maandishi au PDF,Ũhoro wa o mũmemba — tũma maandĩko kana PDF,,
shareOut,Share-Out,Mgao wa Mwisho,Kũgayana,,
shareOutSubtitle,Share the group fund back to members,Gawa pesa za kikundi kwa wanachama,Gaĩra amemba mbeca cia gĩkundi,,
cloudAccount,Cloud Account,Akaunti ya Wingu,Akaũnti ya Matu,,
syncBackup,Sync & Backup,Sawazisha na Hifadhi,Kũiganania na Kũiga,,
intelliStores,Intelli-Stores,Intelli-Stores,Intelli-Stores,,
language,Language,Lugha,Rũthiomi,,
languageSubtitle,Choose the language for this phone,Chagua lugha ya simu hii,Thuura rũthiomi rwa thimũ ĩno,,
languageNeedsReview,"Every screen is translated, but a speaker of this language has not checked the wording yet. If something reads wrongly, please tell us — you can switch back to English or Kiswahili at any time.","Kila skrini imetafsiriwa, lakini mzungumzaji wa lugha hii bado hajakagua maneno. Kama kitu hakisomeki vizuri, tuambie — unaweza kurudi kwa Kiingereza au Kiswahili wakati wowote.","Ithangũ o rĩothe nĩrĩataũrwo, no mũndũ ũaragia rũthiomi rũrũ ndarĩ arorire ciugo. Kũngĩkorũo harĩ ũndũ ũtathomeka wega, tũmenyithie — no ũcooke Gĩthungũ kana Gĩthwahili hĩndĩ o yothe.",,
shareTextButton,Share Text,Tuma Maandishi,Tũma Maandĩko,,
back,Back,Rudi,Cooka,,
cancel,Cancel,Ghairi,Tiga,,
signedOut,Signed out.,Umetoka.,Nĩwoima.,,
signOutKeepsRecords,"Your group's savings, loans and meetings stay saved on this phone, but nobody can open them until you sign in again. Your phone number will be remembered.","Akiba, mikopo na mikutano ya kikundi chenu vitabaki vimehifadhiwa kwenye simu hii, lakini hakuna atakayeweza kuvifungua hadi uingie tena. Nambari yako ya simu itakumbukwa.","Ũigi, mĩkopo na mĩcemanio ya gĩkundi kĩanyu ĩgũtigwo ĩigĩtwo thimũ-inĩ ĩno, no gũtirĩ mũndũ ũngĩmĩhingũra ũtatoonyete rĩngĩ. Namba yaku ya thimũ nĩĩkũririkanwo.",,
signOutMemberNote,You will need to sign in again to see your savings. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona akiba yako. Nambari yako ya simu itakumbukwa.,Nĩũkabatara gũtoonya rĩngĩ nĩguo wone ũigi waku. Namba yaku ya thimũ nĩĩkũririkanwo.,,
signOutAgentNote,You will need to sign in again to see your groups. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona vikundi vyako. Nambari yako ya simu itakumbukwa.,Nĩũkabatara gũtoonya rĩngĩ nĩguo wone ikundi ciaku. Namba yaku ya thimũ nĩĩkũririkanwo.,,
whoIsSigningIn,Who is signing in?,Nani anaingia?,Nũũ ũratoonya?,,
whoIsSigningInSubtitle,"Choose the kind of account you use, then enter your phone number and password.","Chagua aina ya akaunti unayotumia, kisha weka nambari yako ya simu na nenosiri.","Thuura mũthemba wa akaũnti ũrahũthĩra, ũcooke wĩkĩre namba yaku ya thimũ na kĩhithe.",,
welfareRecordThisPayment,Record this payment?,Rekodi malipo haya?,Andĩka irĩhi rĩrĩ?,,
welfareRecordPayment,Record payment,Rekodi malipo,Andĩka irĩhi,,
welfareWelfareFund,Welfare Fund,Mfuko wa Jamii,Mũthithũ wa Ũteithio,,
welfareCouldNotLoadTheWelfare,Could not load the welfare fund.,Imeshindwa kupakia mfuko wa jamii.,Mũthithũ wa ũteithio ndũnahota kũrutwo.,,
welfareTryAgain,Try again,Jaribu tena,Geria rĩngĩ,,
welfareLeftInTheWelfareFund,Left in the welfare fund,Kilichobaki kwenye mfuko wa jamii,Kĩrĩa gĩtigarĩte mũthithũ-inĩ wa ũteithio,,
welfareRecordAWelfarePayment,Record a welfare payment,Rekodi malipo ya jamii,Andĩka irĩhi rĩa ũteithio,,
welfarePaidOutThisCycle,Paid out this cycle,Kilicholipwa mzunguko huu,Kĩrĩa kĩrĩhĩtwo mũthiũrũrũko-inĩ ũyũ,,
welfareNothingPaidOutYetThe,Nothing paid out yet — the whole welfare fund will be shared.,Hakuna kilicholipwa bado — mfuko wote wa jamii utagawanywa.,Gũtirĩ kĩrĩhĩtwo — mũthithũ wothe wa ũteithio nĩũkũgayanwo.,,
welfareRecordedInMeeting,Recorded in meeting,Imerekodiwa kwenye mkutano,Kwandĩkĩirwo mũcemanio-inĩ,,
welfareAmountKsh,Amount (KSh),Kiasi (KSh),Mũigana (KSh),,
welfareWhatFor,What for,Kwa ajili gani,Nĩ kwa ũndũ ũrĩkũ,,
welfarePaidTo,Paid to,Amelipwa,Aarĩhirwo,,
welfareAMemberAFamilyOr,"A member, a family, or a hospital — whoever received it","Mwanachama, familia au hospitali — yeyote aliyepokea","Mũmemba, mũciĩ, kana thibitarĩ — mũndũ o wothe ũrĩa waamũkĩrire",,
welfareNoteOptional,Note (optional),Maelezo (si lazima),Ũhoro (ti bata),,
meetingHubEditAttendance,Edit attendance,Badilisha mahudhurio,Garũra ũkinyu,,
meetingHubCloseLockMeeting,Close & Lock Meeting,Funga na Ufunge Mkutano,Hinga na Ũhingĩre Mũcemanio,,
meetingHubClosingLocksAllRecordsPermanently,Closing locks all records permanently.,Kufunga hufunga rekodi zote milele.,Kũhinga kũhingaga maandĩko mothe nginya tene.,,
meetingHubKeepOpen,Keep Open,Acha Wazi,Tiga Ũhingũkĩte,,
meetingHubCloseLock,Close & Lock,Funga na Ufunge,Hinga na Ũhingĩre,,
meetingHubSocialFund,Social Fund,Mfuko wa Jamii,Mũthithũ wa Ũteithio,,
meetingHubBuyShares,Buy Shares,Nunua Hisa,Gũra Hisa,,
meetingHubRecordFine,Record Fine,Rekodi Faini,Andĩka Faini,,
meetingHubDisburseLoan,Disburse Loan,Toa Mkopo,Heana Mũkopo,,
meetingHubRepayment,Repayment,Marejesho,Kũrĩha,,
meetingHubShareRecords,Share Records,Rekodi za Hisa,Maandĩko ma Hisa,,
meetingHubVoting,Voting,Kupiga Kura,Gũtua,,
meetingHubWelfare,Welfare,Jamii,Ũteithio,,
meetingHubIntelliStore,Intelli-Store,Intelli-Store,Intelli-Store,,
meetingHubExternalLoans,External Loans,Mikopo ya Nje,Mĩkopo ya Nja,,
groupSetupWizardAddTheMembersJoiningThis,Add the members joining this cycle. You can always add more later.,Ongeza wanachama wanaojiunga na mzunguko huu. Unaweza kuongeza wengine baadaye.,Ongerera amemba arĩa marenyita mũthiũrũrũko ũyũ. No wongerere angĩ hĩndĩ ĩngĩ.,,
groupSetupWizardEveryoneBuysSharesAtOne,Everyone buys shares at one fixed price,Kila mtu ananunua hisa kwa bei moja isiyobadilika,Mũndũ o wothe agũraga hisa na thogora ũmwe ũtagarũrũkaga,,
groupSetupWizardMembersSaveWhatTheyCan,Members save what they can each meeting,Wanachama huweka akiba kadri wawezavyo kila mkutano,Amemba maigaga kĩrĩa mangĩhota o mũcemanio,,
groupSetupWizardGroupName,Group Name,Jina la Kikundi,Rĩĩtwa rĩa gĩkundi,,
groupSetupWizardCycleNumber,Cycle Number,Namba ya Mzunguko,Namba ya Mũthiũrũrũko,,
groupSetupWizardWhichSavingsCycleIsThis,Which savings cycle is this group on?,Kikundi hiki kiko kwenye mzunguko upi wa akiba?,Gĩkundi gĩkĩ kĩrĩ mũthiũrũrũko ũrĩkũ wa ũigi?,,
groupSetupWizardMemberName,Member Name,Jina la Mwanachama,Rĩĩtwa rĩa mũmemba,,
groupSetupWizardAddMember,Add member,Ongeza mwanachama,Ongerera mũmemba,,
groupSetupWizardRemove,Remove,Ondoa,Eheria,,
groupSetupWizardShareValueKsh,Share Value (KSh),Thamani ya Hisa (KSh),Thogora wa Hisa (KSh),,
groupSetupWizardMaxSharesPerMeeting,Max Shares per Meeting,Hisa za Juu Kila Mkutano,Hisa Iria Nyingĩ o Mũcemanio,,
groupSetupWizardSocialFundPerMeetingKsh,Social Fund per Meeting (KSh),Mfuko wa Jamii Kila Mkutano (KSh),Mũthithũ wa Ũteithio o Mũcemanio (KSh),,
groupSetupWizardTrackedSeparatelyFromSavings,Tracked separately from savings,Hufuatiliwa tofauti na akiba,Ũrũmagĩrĩrwo mwanya na ũigi,,
groupSetupWizardInterestRatePerMonth,Interest Rate (% per month),Riba (% kwa mwezi),Ũcuuthi (% o mweri),,
groupSetupWizardMaxLoanMultiplierSavings,Max Loan Multiplier (× savings),Kikomo cha Mkopo (× akiba),Mũigana wa Mũkopo (× ũigi),,
groupSetupWizardDefaultLoanTermMonths,Default Loan Term (months),Muda wa Kawaida wa Mkopo (miezi),Ihinda rĩa Mũkopo (mĩeri),,
groupSyncBackUpToCloud,Back Up to Cloud,Hifadhi Kwenye Wingu,Iga Matu-inĩ,,
groupSyncUnlinkGroup,Unlink group?,Ondoa kiungo cha kikundi?,Eheria kĩohanio kĩa gĩkundi?,,
groupSyncUnlink,Unlink,Ondoa kiungo,Eheria kĩohanio,,
groupSyncNotConnected,Not connected,Haijaunganishwa,Ĩtiohanĩtio,,
groupSyncOpenServerConnection,Open Server Connection,Fungua Muunganisho wa Seva,Hingũra Kĩohanio kĩa Cheba,,
groupSyncLink,Link,Unganisha,Ohania,,
groupSyncUnlinkGroup2,Unlink Group,Ondoa Kiungo cha Kikundi,Eheria Kĩohanio kĩa Gĩkundi,,
groupSyncNoBackendGroups,No backend groups,Hakuna vikundi kwenye seva,Gũtirĩ ikundi cheba-inĩ,,
groupSyncThisApiKeyCannotSee,This API key cannot see any groups to link to.,Ufunguo huu hauwezi kuona kikundi chochote cha kuunganisha.,Kĩhingũro gĩkĩ gĩtingĩona gĩkundi o na kĩmwe gĩa kuohania.,,
groupSyncBackendGroup,Backend group,Kikundi kwenye seva,Gĩkundi kĩrĩa kĩrĩ cheba-inĩ,,
createPollStartAVote,Start a Vote,Anzisha Kura,Ambĩrĩria Itua,,
createPollEveryonePresentVotesOnceNobody,Everyone present votes once. Nobody can vote twice.,Kila aliyepo hupiga kura mara moja. Hakuna anayeweza kupiga mara mbili.,O mũndũ ũrĩ ho atuaga riita rĩmwe. Gũtirĩ ũngĩtua maita meerĩ.,,
createPollChooseALeader,Choose a leader,Chagua kiongozi,Thuura mũtongoria,,
createPollDecideSomething,Decide something,Amua jambo,Tua ũndũ,,
createPollTickAtLeastTwoPeople,Tick at least two people.,Chagua angalau watu wawili.,Thuura andũ eerĩ kana makĩria.,,
createPollAddAnotherAnswer,Add another answer,Ongeza jibu lingine,Ongerera macookio mangĩ,,
createPollSecretVote,Secret vote,Kura ya siri,Itua rĩa hitho,,
createPollOpenTheVote,Open the Vote,Fungua Kura,Hingũra Itua,,
createPollWhichPosition,Which position?,Nafasi ipi?,Nĩ nafathi ĩrĩkũ?,,
createPollWhatIsTheQuestion,What is the question?,Swali ni lipi?,Kĩũria nĩ kĩrĩkũ?,,
createPollShouldWeBuyAGroup,Should we buy a group water tank?,"Je, tununue tanki la maji la kikundi?",Nĩtũgũre tanki ya maĩ ya gĩkundi?,,
paymentProvidersLeaveABoxEmptyTo,Leave a box empty to keep what is already saved.,Acha kisanduku wazi ili kubaki na kilichohifadhiwa.,Tiga gĩkabũ gĩtarĩ kĩndũ nĩguo ũtige kĩrĩa kĩigĩtwo.,,
paymentProvidersSave,Save,Hifadhi,Iga,,
paymentProvidersUseThePlatformAccount,Use the platform account?,Tumia akaunti ya jukwaa?,Hũthĩra akaũnti ya kĩoneki?,,
paymentProvidersPaymentProviders,Payment Providers,Watoa Huduma za Malipo,Aheani a Marĩhi,,
paymentProvidersUsePlatform,Use platform,Tumia jukwaa,Hũthĩra kĩoneki,,
storeShopOnCredit,Shop on credit,Nunua kwa mkopo,Gũra na mũkopo,,
storeLoanOffersFromLendingPartners,Loan offers from lending partners — apply as a group.,Mikopo kutoka kwa washirika wa kukopesha — omba kama kikundi.,Mĩkopo kuuma kũrĩ athiritũ akombithania — hooya ta gĩkundi.,,
storeSeeAllExternalLoans,See all external loans,Ona mikopo yote ya nje,Ona mĩkopo yothe ya nja,,
storeConnectToBrowseTheStore,Connect to browse the store,Unganisha ili kutazama duka,Ohania nĩguo wone thoko,,
storeOpenCloudAccount,Open Cloud Account,Fungua Akaunti ya Wingu,Hingũra Akaũnti ya Matu,,
storeAll,All,Zote,Ciothe,,
storeCouldNotLoadTheStore,Could not load the store,Imeshindwa kupakia duka,Thoko ndĩnahota kũrutwo,,
storeNoProductsInThisCategory,No products in this category,Hakuna bidhaa katika kundi hili,Gũtirĩ indo mũthemba-inĩ ũyũ,,
storeTryADifferentCategoryOr,Try a different category or check back later.,Jaribu kundi lingine au rudi baadaye.,Geria mũthemba ũngĩ kana ũcooke thutha-inĩ.,,
pollsNewVote,New Vote,Kura Mpya,Itua Rĩerũ,,
pollsGroupVotes,Group votes,Kura za kikundi,Itua cia gĩkundi,,
pollsSecret,Secret,Siri,Hitho,,
pollsYouHaveVoted,You have voted,Umepiga kura,Nĩwatua,,
pollsConnectToVote,Connect to vote,Unganisha ili kupiga kura,Ohania nĩguo ũtue,,
pollsCouldNotLoadTheVotes,Could not load the votes,Imeshindwa kupakia kura,Itua itinahota kũrutwo,,
pollsNoVotesYet,No votes yet,Hakuna kura bado,Gũtirĩ itua,,
memberPassbookMyPassbook,My Passbook,Kitabu Changu,Ibuku Rĩakwa,,
memberPassbookJoinAGroup,Join a group,Jiunge na kikundi,Ĩtĩkĩra gĩkundi,,
memberPassbookMyReport,My report,Ripoti yangu,Ripoti yakwa,,
memberPassbookMySavingsAcrossAllGroups,My savings across all groups,Akiba yangu katika vikundi vyote,Ũigi wakwa ikundi-inĩ ciothe,,
memberPassbookJoinAnotherGroup,Join another group,Jiunge na kikundi kingine,Ĩtĩkĩra gĩkundi kĩngĩ,,
memberPassbookYouAreNotInA,You are not in a group yet,Bado hujajiunga na kikundi,Ndũrĩ gĩkundi-inĩ o na rĩmwe,,
memberPassbookNoTransactionsYet,No transactions yet,Hakuna miamala bado,Gũtirĩ maũndũ mekĩtwo,,
memberPassbookYourSavingsAndLoanRecords,Your savings and loan records will appear here.,Rekodi za akiba na mikopo yako zitaonekana hapa.,Maandĩko ma ũigi na mĩkopo yaku nĩmakonekaga haha.,,
joinRequestsDecline,Decline,Kataa,Rega,,
joinRequestsJoinRequests,Join Requests,Maombi ya Kujiunga,Mahooya ma Kwĩyũnganĩria,,
joinRequestsPeopleAskingToJoin,People asking to join,Watu wanaoomba kujiunga,Andũ arĩa marahooya kwĩyũnganĩria,,
joinRequestsApprove,Approve,Kubali,Ĩtĩkĩra,,
joinRequestsReasonOptional,Reason (optional),Sababu (si lazima),Gĩtũmi (ti bata),,
joinRequestsNoOneIsWaiting,No one is waiting,Hakuna anayesubiri,Gũtirĩ mũndũ ũreteterera,,
pollDetailCloseThisVote,Close this vote?,Funga kura hii?,Hinga itua rĩrĩ?,,
pollDetailCloseVote,Close Vote,Funga Kura,Hinga Itua,,
pollDetailVote,Vote,Piga Kura,Tua,,
pollDetailYourChoice,Your choice,Chaguo lako,Ũthuuri waku,,
pollDetailNoMembersLoadedForThis,No members loaded for this group yet.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado.,Gũtirĩ amemba marutĩtwo gĩkundi gĩkĩ.,,
pollDetailMemberCastingThisVote,Member casting this vote,Mwanachama anayepiga kura hii,Mũmemba ũratua itua rĩrĩ,,
groupPolicyHowLongALoanRuns,How long a loan runs,Mkopo hudumu muda gani,Mũkopo ũikaraga ihinda rĩigana atĩa,,
groupPolicyInterestCharged,Interest charged,Riba inayotozwa,Ũcuuthi ũrĩa ũtozagwo,,
groupPolicyExpensesArePaidFrom,Expenses are paid from,Gharama hulipwa kutoka,Thogora ũrĩhagwo kuuma,,
groupPolicyRulesThatAreFixed,Rules that are fixed,Sheria zisizobadilika,Mawatho matagarũrũkaga,,
productDetailRequestOnCredit,Request on Credit,Omba kwa Mkopo,Hooya na Mũkopo,,
productDetailQuantity,Quantity,Idadi,Mũigana,,
productDetailSubmitRequest,Submit Request,Wasilisha Ombi,Tũma Ihooya,,
productDetailPricedAtTheStandardDeposit,Priced at the standard deposit — rating unavailable.,Bei ya amana ya kawaida — kiwango hakipatikani.,Thogora wa mũthiĩ wa kawaida — gĩthimi gĩtirĩ ho.,,
productDetailProgramme,Programme,Programu,Mũbango,,
productDetailCustomerName,Customer name,Jina la mteja,Rĩĩtwa rĩa mũgũri,,
productDetailEmail,Email,Barua pepe,Barũa ya ĩntaneti,,
productDetailGroupNameOptional,Group name (optional),Jina la kikundi (si lazima),Rĩĩtwa rĩa gĩkundi (ti bata),,
dashboardHello,Hello 👋,Habari 👋,Wĩ mwega 👋,,
dashboardTotalSavings,Total Savings,Jumla ya Akiba,Mbeca Ciothe Iigĩtwo,,
dashboardActiveLoans,Active Loans,Mikopo Hai,Mĩkopo Ĩrĩ Wĩra-inĩ,,
dashboardFinesCollected,Fines Collected,Faini Zilizokusanywa,Faini Iria Ciũnganĩtio,,
disburseLoanLoanEligibility,Loan Eligibility,Ustahili wa Mkopo,Ũhoti wa Kũheo Mũkopo,,
disburseLoanSelectMember,Select Member,Chagua Mwanachama,Thuura Mũmemba,,
disburseLoanPrincipalAmountKsh,Principal Amount (KSh),Kiasi cha Msingi (KSh),Mbeca cia Kĩambĩrĩria (KSh),,
disburseLoanDueDate,Due Date,Tarehe ya Mwisho,Mũthenya wa Kũrĩha,,
joinGroupRequestSent,Request sent,Ombi limetumwa,Ihooya nĩrĩatũmwo,,
joinGroupDone,Done,Imekamilika,Nĩ kũhĩte,,
joinGroupAskYourGroupToAdd,Ask your group to add you,Omba kikundi chako kikuongeze,Hooya gĩkundi gĩaku gĩkuongerere,,
joinGroupSendRequest,Send request,Tuma ombi,Tũma ihooya,,
joinGroupViewing,Viewing,Unatazama,Ũroroa,,
joinGroupGroupCode,Group code,Msimbo wa kikundi,Kĩmenyithia kĩa gĩkundi,,
memberDetailEditDetails,Edit details,Badilisha maelezo,Garũra ũhoro,,
memberDetailMemberReport,Member report,Ripoti ya mwanachama,Ripoti ya mũmemba,,
memberDetailNoLoansTaken,No loans taken,Hakuna mkopo uliochukuliwa,Gũtirĩ mũkopo woetwo,,
memberDetailStartingPassword,Starting password,Nenosiri la kuanzia,Kĩhithe kĩa kwambĩrĩria,,
memberDetailAtLeast6Characters,At least 6 characters.,Angalau herufi 6.,Ndemwa 6 kana nyingĩ.,,
cyclesCloseCycle,Close cycle,Funga mzunguko,Hinga mũthiũrũrũko,,
cyclesSavingCycles,Saving Cycles,Mizunguko ya Akiba,Mĩthiũrũrũko ya Ũigi,,
cyclesCloseCycleAndStartThe,Close cycle and start the next,Funga mzunguko na uanze ujao,Hinga mũthiũrũrũko wambĩrĩrie ũrĩa ũngĩ,,
cyclesReadOnlyStillVisibleIn,Read-only — still visible in reports,Kusoma tu — bado inaonekana kwenye ripoti,Gũthomwo tu — no ũronekaga ripoti-inĩ,,
externalLoansCreditVentures,Credit ventures,Miradi ya mkopo,Mĩbango ya mũkopo,,
externalLoansConnectToSeeLoanOffers,Connect to see loan offers,Unganisha ili kuona mikopo iliyopo,Ohania nĩguo wone mĩkopo ĩrĩa ĩrĩ ho,,
externalLoansCouldNotLoadLoanOffers,Could not load loan offers,Imeshindwa kupakia mikopo iliyopo,Mĩkopo ĩtinahota kũrutwo,,
externalLoansNoLoanOffersRightNow,No loan offers right now,Hakuna mkopo kwa sasa,Gũtirĩ mũkopo rĩu,,
accountAccount,Account,Akaunti,Akaũnti,,
accountServer,Server,Seva,Cheba,,
accountAppVersion,App version,Toleo la programu,Mũthemba wa app,,
accountPhone,Phone,Simu,Thimũ,,
businessProfileGroupBusiness,Group business,Biashara ya kikundi,Wonjoria wa gĩkundi,,
businessProfileWhatDoesTheGroupRun,What does the group run together?,Kikundi kinaendesha biashara gani pamoja?,Nĩ wonjoria ũrĩkũ gĩkundi kĩrutaga hamwe?,,
businessProfileTypeOfBusiness,Type of business,Aina ya biashara,Mũthemba wa wonjoria,,
businessProfileEGPoultryCerealBuying,"e.g. poultry, cereal buying","mfano: kuku, ununuzi wa nafaka","ta: ngũkũ, kũgũra mbembe",,
businessProfileMoneyInEachMonthKes,Money in each month (KES),Mapato kila mwezi (KES),Mbeca itonyaga o mweri (KES),,
businessProfileCostsEachMonthKes,Costs each month (KES),Gharama kila mwezi (KES),Thogora o mweri (KES),,
businessProfilePeopleItEmploys,People it employs,Watu inaowaajiri,Andũ arĩa ũheaga wĩra,,
businessProfileBiggestProblemTheyFace,Biggest problem they face,Tatizo kubwa wanalokabiliana nalo,Thĩna mũnene ũrĩa mahĩtũkagĩra,,
recordVisitSettings,Settings,Mipangilio,Mĩbango,,
recordVisitScoreTheGroup,Score the group,Pima kikundi,Thima gĩkundi,,
recordVisitTheGroupSEnterprise,The group’s enterprise,Biashara ya kikundi,Wonjoria wa gĩkundi,,
recordVisitWhatTheyRunTogetherAnd,"What they run together, and how it is doing.","Wanachoendesha pamoja, na kinavyokwenda.","Kĩrĩa marutaga hamwe, na ũrĩa gĩgũthiĩ.",,
